Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP▼
1,Russell Westbrook\westbru01,PG,28,OKC,57,1974,29.5,.545,.269,.441,5.8,27.5,16.7,56.3,2.3,0.8,16.1,41.8,,5.1,3.1,8.2,.199,,9.8,4.3,14.1,8.0
2,James Harden\hardeja01,PG,27,HOU,59,2153,27.5,.615,.482,.581,3.6,21.3,12.4,50.8,2.0,1.0,19.8,34.3,,8.6,2.8,11.5,.255,,8.6,1.6,10.2,6.6
3,Kevin Durant\duranke01,SF,28,GSW,57,1945,27.6,.653,.303,.374,2.1,23.2,13.5,22.6,1.6,3.9,10.4,27.7,,7.7,3.7,11.3,.279,,5.5,2.7,8.2,5.0
4,LeBron James\jamesle01,SF,32,CLE,53,1989,26.3,.616,.250,.387,3.5,19.0,11.5,41.9,1.8,1.3,17.1,29.4,,6.7,2.4,9.1,.219,,6.3,1.8,8.1,5.0
5,Giannis Antetokounmpo\antetgi01,SF,22,MIL,54,1914,26.6,.606,.159,.456,6.2,21.3,13.9,26.4,2.5,4.9,13.5,28.3,,5.7,2.9,8.6,.216,,4.7,3.4,8.1,4.9
6,DeMarcus Cousins\couside01,C,26,TOT,56,1926,26.9,.563,.240,.487,7.2,29.0,18.1,27.8,2.1,3.7,13.1,37.3,,3.9,2.9,6.7,.168,,4.6,2.8,7.4,4.5
7,Kyle Lowry\lowryky01,PG,30,TOR,56,2111,23.0,.624,.510,.395,2.5,11.9,7.1,29.1,1.9,0.7,13.4,24.8,,7.6,1.7,9.4,.213,,7.3,-0.9,6.4,4.5
8,Kawhi Leonard\leonaka01,SF,25,SAS,51,1710,28.2,.619,.289,.418,4.1,15.5,10.0,17.6,2.7,1.8,9.0,31.0,,6.6,3.2,9.8,.274,,6.6,1.3,7.9,4.3
9,Stephen Curry\curryst01,PG,28,GSW,56,1870,24.2,.632,.553,.262,2.1,11.5,7.1,29.0,2.4,0.5,12.7,29.1,,6.3,2.6,8.9,.228,,7.3,-0.7,6.6,4.1
10,Jimmy Butler\butleji01,SF,27,CHI,51,1867,25.5,.589,.208,.582,4.8,14.0,9.3,23.1,2.5,0.6,9.3,27.2,,7.0,2.2,9.2,.236,,6.0,0.4,6.4,4.0
11,Draymond Green\greendr01,PF,26,GSW,54,1766,17.0,.534,.409,.327,4.8,21.3,13.7,27.8,3.1,3.6,20.0,15.6,,2.5,3.9,6.3,.172,,0.9,5.2,6.1,3.6
12,Rudy Gobert\goberru01,C,24,UTA,57,1910,22.1,.671,.002,.831,13.7,29.2,21.7,4.9,1.1,6.1,15.9,16.1,,5.3,4.4,9.7,.243,,0.7,4.6,5.3,3.5
13,Isaiah Thomas\thomais02,PG,27,BOS,53,1830,27.5,.629,.423,.444,1.8,6.9,4.4,33.8,1.1,0.2,10.0,34.2,,8.7,0.8,9.5,.248,,9.5,-3.9,5.7,3.5
14,Karl-Anthony Towns\townska01,C,21,MIN,57,2079,24.5,.595,.191,.301,10.8,27.2,18.9,14.3,0.9,3.4,11.6,27.4,,5.8,2.1,7.9,.183,,3.7,0.7,4.4,3.4
15,Marc Gasol\gasolma01,C,32,MEM,55,1891,21.4,.564,.226,.308,2.6,18.3,10.3,24.0,1.4,3.9,10.6,26.9,,3.8,2.9,6.7,.170,,2.6,2.4,5.0,3.3
