Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP▼
16,Nikola Jokic\jokicni01,C,21,DEN,50,1345,26.1,.637,.155,.270,12.7,24.5,18.5,26.5,1.3,2.4,14.1,23.0,,5.2,1.0,6.3,.224,,6.3,1.5,7.8,3.3
17,Chris Paul\paulch01,PG,31,LAC,36,1112,27.2,.611,.399,.363,2.7,16.0,9.5,50.0,3.6,0.4,14.3,24.0,,4.8,1.7,6.5,.281,,8.2,1.5,9.7,3.3
18,Gordon Hayward\haywago01,SF,26,UTA,50,1732,22.9,.602,.330,.427,2.1,16.1,9.4,18.3,1.5,0.7,9.2,27.6,,5.4,2.5,7.9,.219,,4.5,0.4,4.9,3.0
19,Otto Porter\porteot01,SF,23,WAS,55,1862,18.1,.653,.440,.153,4.4,17.7,11.2,6.7,2.2,1.5,6.0,15.5,,4.9,2.5,7.4,.190,,3.3,1.2,4.5,3.0
20,John Wall\walljo01,PG,26,WAS,53,1940,23.0,.540,.187,.344,2.5,10.9,6.8,46.4,2.9,1.3,16.7,30.5,,3.7,2.5,6.2,.153,,3.5,0.7,4.1,3.0
21,Kemba Walker\walkeke02,PG,26,CHO,56,1926,21.0,.570,.384,.264,2.0,11.0,6.5,29.2,1.7,0.7,10.2,28.7,,3.8,2.0,5.8,.145,,5.0,-1.1,3.9,2.9
22,Eric Bledsoe\bledser01,PG,27,PHO,56,1861,21.5,.569,.298,.442,2.9,14.0,8.2,31.5,2.0,1.0,14.7,28.2,,4.2,1.2,5.4,.139,,4.4,-0.5,3.9,2.8
23,Mike Conley\conlemi01,PG,29,MEM,46,1503,22.0,.584,.403,.350,1.8,10.7,6.2,34.6,2.1,1.0,12.1,26.1,,4.2,1.8,6.1,.193,,5.5,-0.3,5.2,2.7
24,Anthony Davis\davisan02,C,23,NOP,54,1960,27.2,.577,.080,.435,6.5,28.2,17.2,11.7,1.7,5.6,9.9,32.6,,3.8,3.7,7.6,.185,,1.0,2.5,3.6,2.7
25,DeAndre Jordan\jordade01,C,28,LAC,57,1782,20.9,.661,.003,.737,12.8,35.1,24.2,5.8,0.9,4.4,14.4,15.2,,4.4,3.3,7.7,.206,,0.3,3.0,3.3,2.4
26,Paul Millsap\millspa01,PF,31,ATL,53,1810,18.3,.537,.259,.384,5.6,19.6,12.7,18.0,2.1,2.4,11.5,24.2,,2.1,3.0,5.1,.136,,0.8,2.4,3.1,2.3
27,Damian Lillard\lillada01,PG,26,POR,52,1864,22.2,.573,.375,.366,2.0,13.2,7.5,27.7,1.0,0.7,10.3,30.7,,5.2,0.7,5.9,.152,,5.2,-2.4,2.8,2.2
28,Trevor Ariza\arizatr01,SF,31,HOU,59,2036,12.6,.546,.703,.131,2.2,15.8,9.0,9.0,2.7,0.6,7.9,14.3,,2.0,2.6,4.7,.110,,0.9,1.2,2.0,2.1
29,Blake Griffin\griffbl01,PF,27,LAC,37,1233,23.3,.550,.062,.419,7.1,21.3,14.4,26.5,1.6,1.3,10.8,29.3,,2.9,1.6,4.5,.173,,2.8,1.8,4.7,2.1
30,Lucas Nogueira\noguelu01,C,24,TOR,48,1037,16.0,.701,.060,.444,8.6,16.6,12.6,5.2,2.3,7.1,19.2,9.6,,1.9,1.7,3.5,.164,,0.4,5.2,5.6,2.0
31,Goran Dragic\dragigo01,PG,30,MIA,49,1680,19.4,.584,.252,.331,2.4,10.0,6.2,31.0,1.5,0.4,15.3,26.6,,3.3,1.6,4.9,.139,,3.3,-1.0,2.4,1.9
32,Kyrie Irving\irvinky01,PG,24,CLE,50,1755,21.8,.569,.314,.222,2.4,7.3,4.9,29.7,1.8,0.6,11.0,30.1,,4.6,1.3,5.9,.162,,4.2,-1.9,2.3,1.9
33,Mason Plumlee\plumlma01,C,26,TOT,56,1572,18.6,.554,.013,.523,8.5,22.9,15.6,21.1,1.6,3.3,14.3,18.1,,2.8,1.7,4.4,.136,,0.2,2.7,2.9,1.9
34,Jeff Teague\teaguje01,PG,28,IND,57,1856,19.6,.576,.252,.471,1.5,12.6,7.2,37.8,2.1,1.2,17.3,22.2,,3.8,1.7,5.6,.144,,2.4,-0.3,2.1,1.9
35,Nicolas Batum\batumni01,SG,28,CHO,54,1874,15.6,.537,.408,.311,2.2,19.5,10.9,27.3,1.5,1.0,16.0,21.4,,1.3,2.4,3.7,.094,,0.6,1.2,1.8,1.8
36,Al Horford\horfoal01,C,30,BOS,45,1481,17.6,.541,.342,.155,4.6,17.9,11.2,23.7,1.1,3.8,11.3,20.6,,2.2,1.6,3.8,.125,,1.1,1.8,2.8,1.8
37,Dwight Howard\howardw01,C,31,ATL,51,1504,22.0,.641,.005,.652,16.2,32.1,24.2,6.8,1.5,3.6,16.4,18.8,,3.3,3.0,6.3,.203,,0.2,2.5,2.7,1.8
38,C.J. McCollum\mccolcj01,SG,25,POR,57,1972,20.4,.590,.328,.211,2.6,9.2,5.8,18.8,1.5,1.4,10.6,28.1,,4.3,0.9,5.2,.126,,3.8,-2.2,1.6,1.8
39,Bradley Beal\bealbr01,SG,23,WAS,51,1757,19.6,.598,.434,.268,2.0,7.4,4.8,17.1,1.5,0.6,9.9,26.4,,4.4,1.3,5.6,.154,,4.2,-2.4,1.9,1.7
40,Kentavious Caldwell-Pope\caldwke01,SG,23,DET,53,1802,13.9,.533,.459,.195,2.5,8.9,5.6,12.4,1.9,0.4,8.3,19.5,,1.9,1.9,3.8,.101,,1.6,0.3,1.8,1.7
41,Lou Williams\willilo02,SG,30,TOT,59,1428,24.3,.612,.436,.461,1.1,9.4,5.1,22.7,2.2,0.6,11.8,30.6,,4.6,0.7,5.3,.177,,5.8,-3.2,2.6,1.7
42,Patrick Beverley\beverpa01,SG,28,HOU,45,1373,13.5,.553,.516,.117,4.8,16.2,10.5,20.1,2.4,1.1,15.0,14.1,,2.1,1.8,3.9,.135,,1.0,1.7,2.7,1.6
43,Gorgui Dieng\dienggo01,PF,27,MIN,57,1825,14.2,.557,.061,.220,8.1,20.7,14.3,8.6,1.6,2.9,12.4,14.5,,2.2,1.8,4.0,.105,,-0.6,2.0,1.4,1.6
44,Paul George\georgpa01,SF,26,IND,50,1786,18.6,.570,.344,.279,2.7,16.4,9.7,15.5,2.2,0.8,12.7,28.1,,1.8,1.9,3.7,.100,,2.0,-0.5,1.5,1.6
45,Marcin Gortat\gortama01,C,32,WAS,55,1898,16.3,.614,.002,.226,10.7,26.3,18.6,6.6,0.8,2.5,13.6,14.4,,3.4,2.5,6.0,.151,,-0.3,1.8,1.4,1.6
46,Danny Green\greenda02,SG,29,SAS,48,1282,10.9,.574,.721,.057,1.6,12.0,7.0,9.3,2.0,2.4,13.9,13.2,,0.7,2.1,2.8,.104,,0.6,2.4,3.0,1.6
47,Joe Ingles\inglejo01,SF,29,UTA,57,1253,13.1,.629,.618,.168,1.0,13.2,7.3,16.3,2.8,0.3,17.5,13.7,,1.6,2.1,3.7,.142,,1.2,2.0,3.2,1.6
48,James Johnson\johnsja01,PF,29,MIA,52,1381,16.6,.576,.346,.281,3.6,16.9,10.2,19.8,1.7,3.2,17.5,21.5,,1.2,2.0,3.2,.111,,0.4,2.1,2.5,1.6
49,Tristan Thompson\thomptr01,C,25,CLE,56,1682,15.7,.590,.009,.513,14.3,21.4,17.9,4.0,0.9,3.1,10.1,11.3,,3.6,2.1,5.7,.163,,0.0,1.8,1.9,1.6
50,Myles Turner\turnemy01,C,20,IND,56,1732,19.2,.597,.150,.385,5.9,20.0,13.0,5.9,1.3,5.9,9.9,21.0,,3.1,2.4,5.5,.151,,-0.2,1.9,1.7,1.6
51,Jae Crowder\crowdja01,SF,26,BOS,47,1527,15.3,.622,.559,.254,2.2,15.9,9.1,9.9,1.6,0.9,8.3,16.6,,3.0,1.4,4.4,.139,,2.0,-0.1,1.9,1.5
52,George Hill\hillge01,PG,30,UTA,32,1011,20.1,.594,.387,.324,2.1,10.3,6.3,22.4,1.6,0.6,9.1,24.1,,2.9,1.3,4.2,.199,,4.3,-0.3,4.0,1.5
53,Andre Iguodala\iguodan01,SF,33,GSW,55,1412,12.8,.593,.453,.215,3.2,12.9,8.4,16.4,1.7,1.2,12.0,10.4,,2.5,1.9,4.3,.147,,0.8,1.5,2.3,1.5
54,Brook Lopez\lopezbr01,C,28,BRK,51,1509,21.3,.579,.328,.325,5.7,12.7,9.3,16.0,0.9,4.5,11.7,29.3,,2.5,1.0,3.5,.113,,2.3,-0.3,2.0,1.5
55,Thaddeus Young\youngth01,PF,28,IND,49,1524,15.0,.573,.239,.136,5.5,16.4,11.0,8.1,2.9,1.4,13.1,16.6,,1.1,2.0,3.0,.096,,0.0,1.8,1.8,1.5
56,Pau Gasol\gasolpa01,C,36,SAS,39,1029,18.9,.558,.118,.277,6.7,26.8,17.1,16.1,0.8,3.6,10.7,20.1,,1.7,1.9,3.6,.170,,0.1,3.2,3.3,1.4
57,Jrue Holiday\holidjr01,PG,26,NOP,43,1394,17.8,.544,.300,.217,2.5,10.7,6.5,37.8,2.4,1.5,17.6,24.5,,0.9,1.6,2.5,.087,,1.6,0.2,1.9,1.4
58,Tyler Johnson\johnsty01,PG,24,MIA,49,1506,15.8,.524,.302,.309,2.5,12.8,7.6,16.4,2.0,1.8,7.4,20.6,,2.0,1.9,3.9,.125,,0.7,1.0,1.7,1.4
59,Dwyane Wade\wadedw01,SG,35,CHI,48,1458,19.8,.510,.152,.298,3.9,12.5,8.1,22.9,2.6,1.9,10.5,30.0,,1.3,1.9,3.2,.105,,1.3,0.5,1.8,1.4
60,LaMarcus Aldridge\aldrila01,PF,31,SAS,51,1649,18.9,.541,.052,.305,8.4,17.1,12.8,10.6,0.9,2.9,8.2,24.6,,2.9,2.6,5.4,.158,,0.0,1.1,1.1,1.3
61,Tobias Harris\harrito02,PF,24,DET,58,1840,16.8,.576,.294,.197,1.9,16.3,9.0,8.3,1.0,1.3,8.3,21.9,,2.7,2.0,4.8,.125,,0.9,0.0,0.9,1.3
62,David Lee\leeda02,PF,33,SAS,55,1023,18.8,.620,.000,.287,11.2,22.5,17.0,13.5,1.1,1.8,14.5,17.0,,2.4,1.7,4.1,.193,,1.0,2.1,3.2,1.3
63,Jon Leuer\leuerjo01,PF,27,DET,52,1420,15.7,.588,.276,.186,5.4,18.2,11.7,9.5,0.8,1.2,8.7,17.0,,2.7,1.5,4.2,.142,,0.9,0.8,1.7,1.3
64,Kevin Love\loveke01,PF,28,CLE,46,1466,22.0,.582,.455,.366,8.9,28.8,19.1,9.6,1.4,0.9,11.0,26.6,,3.6,2.1,5.6,.184,,2.3,-0.7,1.6,1.3
65,Greg Monroe\monrogr01,C,26,MIL,54,1178,22.2,.578,.004,.361,10.5,24.7,17.7,16.2,2.9,2.0,13.6,23.9,,2.2,1.8,4.0,.162,,0.8,1.7,2.5,1.3
66,Dwight Powell\poweldw01,C,25,DAL,56,1025,19.1,.597,.091,.376,8.5,19.7,13.8,6.9,2.8,2.9,5.9,15.7,,2.5,1.6,4.1,.192,,0.0,2.8,2.9,1.3
67,Robert Covington\covinro01,SF,26,PHI,50,1554,12.2,.515,.578,.222,5.1,16.8,10.9,8.0,3.0,2.3,14.4,18.7,,-0.5,2.4,1.9,.059,,-1.0,2.2,1.1,1.2
68,Seth Curry\curryse01,PG,26,DAL,52,1468,14.8,.580,.456,.121,1.7,9.3,5.3,16.3,2.2,0.4,10.9,18.9,,1.8,1.3,3.1,.100,,1.3,-0.1,1.2,1.2
69,Andre Drummond\drumman01,C,23,DET,57,1731,21.4,.526,.009,.360,14.6,36.2,25.2,5.5,2.8,3.2,13.1,23.5,,1.0,4.0,4.9,.136,,-2.1,2.9,0.8,1.2
70,JaMychal Green\greenja01,PF,26,MEM,56,1599,13.0,.586,.283,.344,8.6,20.9,14.6,6.8,1.3,1.7,14.3,14.2,,2.1,2.3,4.4,.132,,-0.6,1.7,1.1,1.2
71,Wesley Matthews\matthwe02,SG,30,DAL,53,1874,13.2,.548,.558,.212,0.7,11.8,6.0,11.7,1.6,0.5,8.5,20.5,,1.4,1.5,3.0,.076,,0.9,-0.4,0.5,1.2
72,Zaza Pachulia\pachuza01,C,32,GSW,45,844,16.0,.594,.000,.476,13.4,21.1,17.5,13.4,2.4,2.1,20.3,14.3,,1.6,1.6,3.2,.183,,0.1,3.3,3.5,1.2
73,P.J. Tucker\tuckepj01,SF,31,PHO,57,1627,10.8,.518,.385,.218,6.1,17.4,11.6,6.2,2.6,0.7,11.8,11.4,,1.1,1.4,2.5,.073,,-0.6,1.6,1.0,1.2
74,Nikola Vucevic\vucevni01,C,26,ORL,56,1601,18.5,.499,.070,.165,8.2,30.9,19.2,17.3,1.7,2.8,10.7,24.6,,0.4,2.4,2.8,.083,,-1.6,2.6,0.9,1.2
75,Steven Adams\adamsst01,C,23,OKC,55,1695,17.0,.600,.004,.369,12.6,15.9,14.2,5.6,1.7,2.8,16.3,16.8,,2.5,2.2,4.7,.133,,-0.7,1.2,0.5,1.1
76,DeMarre Carroll\carrode01,SF,30,TOR,52,1418,12.7,.544,.573,.204,3.7,13.1,8.4,5.3,2.2,1.2,7.7,15.8,,1.6,1.4,3.0,.100,,1.0,0.0,1.0,1.1
77,Joel Embiid\embiijo01,C,22,PHI,31,786,24.2,.584,.228,.569,8.5,25.6,17.0,16.4,1.7,7.8,17.9,36.2,,0.5,1.5,2.0,.121,,0.2,3.4,3.6,1.1
78,Serge Ibaka\ibakase01,PF,27,ORL,56,1710,17.6,.569,.304,.129,6.3,18.6,12.3,5.9,1.0,4.3,8.2,21.0,,2.2,1.9,4.0,.113,,0.1,0.6,0.6,1.1
79,Amir Johnson\johnsam01,PF,29,BOS,56,1104,15.3,.623,.169,.265,9.1,16.9,13.0,12.9,1.4,2.8,14.4,13.7,,2.3,1.2,3.5,.151,,0.3,1.7,2.0,1.1
80,Patty Mills\millspa02,PG,28,SAS,55,1170,15.9,.589,.535,.131,1.8,7.7,4.9,23.6,2.0,0.0,13.6,20.2,,2.0,1.5,3.5,.145,,2.8,-1.2,1.6,1.1
81,Joakim Noah\noahjo01,C,31,NYK,46,1015,15.1,.495,.005,.390,16.7,25.5,21.1,13.9,1.5,2.9,19.8,12.4,,1.1,1.1,2.2,.105,,-0.6,2.8,2.2,1.1
82,Kyle O'Quinn\oquinky01,PF,26,NYK,56,859,20.6,.554,.030,.178,14.4,25.0,19.7,12.3,1.4,7.0,14.4,18.7,,1.4,1.2,2.6,.146,,-0.4,3.3,2.9,1.1
83,Cody Zeller\zelleco01,PF,24,CHO,39,1044,17.2,.621,.000,.473,9.3,16.7,13.0,8.7,1.4,3.4,12.6,16.6,,2.1,1.5,3.6,.166,,-0.1,2.2,2.0,1.1
84,Trevor Booker\booketr01,PF,29,BRK,51,1335,16.2,.563,.132,.213,8.6,25.7,17.3,13.6,2.3,1.2,17.0,17.8,,1.0,1.6,2.6,.092,,-1.2,2.1,0.9,1.0
85,Vince Carter\cartevi01,SG,40,MEM,50,1202,11.8,.526,.590,.250,2.3,13.2,7.6,11.7,1.7,2.1,6.8,15.4,,1.3,1.6,2.8,.113,,0.1,1.1,1.2,1.0
86,Marcus Morris\morrima03,SF,27,DET,57,1886,12.9,.515,.363,.173,3.0,13.1,7.9,9.5,1.2,0.7,7.3,20.0,,1.3,1.9,3.1,.080,,0.0,0.1,0.2,1.0
87,Jabari Parker\parkeja01,PF,21,MIL,51,1728,19.0,.563,.219,.268,5.4,15.2,10.4,13.9,1.5,1.1,9.2,26.1,,2.8,1.3,4.1,.114,,1.7,-1.5,0.2,1.0
88,Thabo Sefolosha\sefolth01,SF,32,ATL,44,1137,12.6,.532,.273,.197,3.4,14.7,9.2,8.9,3.2,1.7,11.5,13.7,,0.5,1.9,2.5,.104,,-1.8,3.1,1.4,1.0
89,Tony Allen\allento01,SG,35,MEM,49,1366,12.9,.489,.074,.251,9.3,13.8,11.5,7.1,3.3,1.7,13.7,17.8,,-0.1,2.3,2.2,.077,,-2.3,2.9,0.6,0.9
90,Carmelo Anthony\anthoca01,SF,32,NYK,57,1946,19.0,.543,.299,.265,2.7,16.2,9.4,15.0,1.2,1.1,8.9,29.6,,3.2,1.1,4.3,.105,,2.1,-2.3,-0.2,0.9
91,Dewayne Dedmon\dedmode01,C,27,SAS,50,865,17.1,.649,.000,.365,11.0,31.2,21.4,4.7,1.6,3.9,14.1,12.6,,1.7,2.0,3.7,.207,,-1.0,3.2,2.2,0.9
92,DeMar DeRozan\derozde01,SG,27,TOR,50,1775,23.8,.547,.071,.407,3.1,13.9,8.4,19.3,1.6,0.4,8.6,34.2,,4.3,1.4,5.7,.153,,1.8,-1.8,0.0,0.9
93,Danilo Gallinari\gallida01,SF,28,DEN,45,1534,16.0,.605,.410,.521,1.8,14.5,8.1,9.6,1.0,0.6,9.0,19.3,,3.9,0.3,4.2,.132,,2.2,-1.9,0.3,0.9
94,Larry Nance Jr.\nancela02,PF,24,LAL,39,869,15.8,.585,.062,.224,8.2,19.0,13.4,10.2,2.6,2.3,13.2,13.1,,1.3,0.9,2.2,.122,,-0.3,2.2,1.9,0.9
95,Ricky Rubio\rubiori01,PG,26,MIN,51,1637,15.2,.530,.361,.462,3.3,10.6,6.9,36.2,2.8,0.3,22.4,14.9,,2.4,1.3,3.7,.108,,0.9,-0.6,0.3,0.9
96,Marreese Speights\speigma01,C,29,LAC,57,938,19.5,.598,.492,.301,7.7,23.2,15.7,8.5,1.0,2.4,8.7,24.4,,2.4,1.2,3.7,.188,,2.7,-1.0,1.7,0.9
97,Klay Thompson\thompkl01,SG,26,GSW,55,1875,17.0,.598,.461,.162,2.3,9.2,6.0,9.1,1.1,1.0,8.8,25.5,,2.8,1.9,4.8,.122,,2.1,-2.2,-0.1,0.9
98,Will Barton\bartowi01,SG,26,DEN,43,1254,15.8,.551,.333,.293,4.3,13.6,8.9,17.4,1.4,1.4,11.8,20.7,,2.0,0.5,2.5,.095,,1.5,-0.9,0.5,0.8
99,James Ennis\ennisja01,SF,26,MEM,44,1118,11.2,.608,.430,.347,5.7,13.4,9.5,6.1,1.6,1.3,14.7,13.2,,1.3,1.4,2.7,.116,,-0.4,1.2,0.8,0.8
100,Kenneth Faried\farieke01,PF,27,DEN,48,1062,20.3,.600,.016,.528,15.5,24.1,19.8,6.0,1.6,2.6,11.2,17.4,,2.8,0.9,3.7,.168,,1.1,0.0,1.1,0.8
101,Manu Ginobili\ginobma01,SG,39,SAS,49,904,14.1,.531,.505,.265,2.3,11.6,7.1,19.5,3.0,1.3,15.5,20.9,,0.5,1.6,2.1,.110,,0.4,1.3,1.7,0.8
102,Maurice Harkless\harklma01,SF,23,POR,53,1543,13.0,.553,.338,.160,6.1,11.8,8.9,5.4,2.0,2.6,11.0,16.2,,1.2,1.2,2.4,.073,,-0.4,0.5,0.1,0.8
103,Michael Kidd-Gilchrist\kiddgmi01,SF,23,CHO,56,1672,13.3,.510,.018,.315,7.2,20.1,13.7,7.0,1.4,3.0,7.8,14.4,,1.4,2.4,3.9,.111,,-2.7,2.5,-0.2,0.8
104,Kyle Korver\korveky01,SG,35,TOT,52,1408,12.4,.638,.670,.087,0.6,11.0,5.9,9.9,1.1,1.1,12.2,14.8,,1.8,1.2,3.1,.105,,0.8,-0.5,0.3,0.8
105,Zach LaVine\lavinza01,SG,21,MIN,47,1749,14.7,.576,.437,.197,1.2,9.6,5.3,12.9,1.2,0.5,9.9,21.7,,2.6,0.6,3.2,.088,,2.2,-2.3,-0.1,0.8
106,Courtney Lee\leeco01,SG,31,NYK,53,1666,12.0,.568,.404,.111,2.6,8.7,5.6,9.7,1.4,0.8,7.5,13.7,,2.4,0.5,2.9,.084,,0.8,-0.9,-0.1,0.8
107,Mike Muscala\muscami01,C,25,ATL,50,984,14.6,.603,.311,.198,6.9,13.6,10.3,10.4,1.2,2.8,12.9,15.2,,1.5,1.2,2.7,.131,,-0.2,1.3,1.2,0.8
108,Nerlens Noel\noelne01,C,22,PHI,29,564,20.9,.634,.006,.360,9.0,19.2,14.1,9.2,3.6,3.7,12.5,17.9,,1.1,1.1,2.2,.187,,0.3,3.7,4.0,0.8
109,Kelly Olynyk\olynyke01,C,25,BOS,50,1077,15.8,.616,.417,.236,4.7,20.4,12.6,14.5,1.5,1.5,14.1,18.6,,1.7,1.2,2.9,.131,,0.8,0.3,1.1,0.8
110,Patrick Patterson\pattepa01,PF,27,TOR,40,1090,10.5,.522,.665,.160,4.8,17.7,11.2,7.2,1.4,1.3,9.2,12.4,,1.0,1.0,2.0,.087,,0.4,0.5,0.9,0.8
111,Kristaps Porzingis\porzikr01,PF,21,NYK,50,1635,17.2,.549,.332,.256,5.4,17.6,11.5,6.4,1.1,4.8,9.7,24.0,,2.0,1.5,3.4,.101,,0.2,-0.2,0.0,0.8
112,Iman Shumpert\shumpim01,SG,26,CLE,52,1320,10.3,.563,.584,.201,2.6,10.0,6.4,8.3,1.9,0.9,12.3,13.6,,1.1,1.2,2.3,.083,,-0.1,0.5,0.4,0.8
113,Marcus Smart\smartma01,PG,22,BOS,54,1678,12.1,.493,.435,.298,3.4,10.7,7.1,21.2,2.8,1.0,16.4,18.2,,0.3,1.8,2.1,.060,,-1.0,0.8,-0.1,0.8
114,Clint Capela\capelca01,C,22,HOU,44,1019,21.1,.640,.000,.320,11.2,24.5,17.9,6.2,1.0,4.9,11.7,19.6,,2.4,1.5,3.9,.183,,-0.5,1.2,0.7,0.7
115,Rudy Gay\gayru01,SF,30,SAC,30,1013,18.0,.559,.256,.312,4.0,17.8,10.9,14.1,2.3,2.4,12.8,25.7,,0.9,1.1,2.0,.093,,0.2,0.5,0.7,0.7
116,Montrezl Harrell\harremo01,PF,23,HOU,47,892,19.5,.659,.010,.339,8.8,13.4,11.1,10.4,1.0,3.1,10.7,18.0,,2.6,0.9,3.5,.189,,1.0,0.3,1.3,0.7
117,Luc Mbah a Moute\mbahalu01,PF,30,LAC,55,1230,10.0,.568,.308,.243,3.5,8.2,5.9,2.5,2.3,1.8,10.7,11.8,,0.7,1.3,2.1,.080,,-1.1,1.5,0.4,0.7
118,Elfrid Payton\paytoel01,PG,22,ORL,59,1713,15.3,.505,.193,.213,2.9,11.5,7.1,31.8,1.9,1.3,14.5,21.9,,0.7,1.4,2.2,.061,,-0.3,-0.1,-0.4,0.7
119,Garrett Temple\templga01,SG,30,SAC,49,1301,11.2,.561,.515,.202,2.4,9.3,5.9,12.7,2.3,1.6,13.0,13.3,,1.1,1.0,2.0,.075,,-0.1,0.4,0.2,0.7
120,Nick Young\youngni01,SG,31,LAL,51,1351,15.1,.601,.652,.158,1.9,7.9,4.8,6.5,1.2,0.8,4.9,19.4,,3.0,0.2,3.3,.117,,3.3,-3.2,0.1,0.7
121,Kyle Anderson\anderky01,SG,23,SAS,51,671,11.9,.523,.194,.355,3.5,18.6,11.3,11.0,2.5,2.4,15.8,11.5,,0.3,1.3,1.7,.118,,-2.4,3.7,1.4,0.6
122,Ryan Anderson\anderry01,PF,28,HOU,56,1719,13.6,.587,.629,.211,6.0,12.1,9.1,4.5,0.8,0.6,7.0,17.7,,3.2,1.2,4.4,.123,,1.7,-2.2,-0.6,0.6
123,Davis Bertans\bertada01,PF,24,SAS,48,556,13.0,.606,.729,.194,3.2,10.3,6.8,8.8,1.3,3.0,10.6,15.3,,0.8,0.8,1.6,.142,,1.4,0.6,2.0,0.6
124,Avery Bradley\bradlav01,SG,26,BOS,36,1257,15.5,.561,.345,.117,3.6,18.6,11.1,11.3,1.9,0.5,10.3,22.5,,1.0,1.3,2.3,.087,,0.2,-0.3,-0.1,0.6
125,Raymond Felton\feltora01,PG,32,LAC,55,1257,12.1,.516,.294,.112,2.6,11.8,7.3,17.7,1.9,1.2,13.0,17.1,,0.6,1.3,1.9,.074,,-0.9,0.7,-0.2,0.6
126,Gary Harris\harriga01,SG,22,DEN,33,952,15.7,.582,.386,.217,3.2,9.0,6.1,13.0,2.0,0.5,10.2,19.2,,1.7,0.3,2.0,.103,,2.2,-1.7,0.5,0.6
127,Ersan Ilyasova\ilyaser01,PF,29,TOT,56,1509,15.1,.551,.467,.214,5.3,18.8,12.0,11.3,1.2,0.8,10.1,23.3,,1.3,1.5,2.8,.088,,0.7,-1.1,-0.4,0.6
