Name,G,FGA,3PA,FTA,ORB,TRB.1,AST.1,STL,BLK,TOV,PF,MP.1,PTS.1,FG%,3P%,FT%,Years,AP,LAT,SR,TQS,SVL,MVL,MBP
abdelal01,33.5,5.375016175419186,,2.3401395453413176,,3.525,0.325,0.3519103978829612,0.48492248739126076,1.0130094852658105,2.0111796409703957,14.25,8.15,0.5825,,0.6739999999999999,4.0,0.5,,,,,,
abdulma02,32.0,21.890625,7.21875,6.40625,,2.95,3.65,1.671875,0.109375,3.59375,2.125,37.25,29.0,0.47350000000000003,0.3735,0.8625,2.0,0.0,,,,,,
abdulta01,27.666666666666668,11.285641025641027,1.9227564102564105,4.859070512820513,,5.8,1.4000000000000001,1.0208333333333333,0.599423076923077,2.344294871794872,2.699775641025641,24.8,14.866666666666667,0.48266666666666663,0.30966666666666665,0.6786666666666666,3.0,0.3333333333333333,,,,,,
abdursh01,28.0,14.214285714285714,0.75,8.892857142857142,,8.4,1.0,1.8571428571428572,1.25,3.107142857142857,2.0714285714285716,34.7,21.1,0.518,0.381,0.6829999999999999,1.0,0.0,,,,,,
ackeral01,29.333333333333332,11.107460670586368,3.2826420890937023,3.524431908469728,,5.6000000000000005,2.8000000000000003,1.5154934053710472,0.4301737380157847,,,34.3,14.4,0.4586666666666667,0.4083333333333334,0.8220000000000001,3.0,0.0,11.67,,3.35,28.0,32.0,11.0
acresma01,27.5,12.562309492509716,,5.803501906880661,,9.475,,1.3767777689496266,1.501394045331754,2.5365882726839346,3.5545682070987965,33.300000000000004,18.25,0.5680000000000001,,0.69725,4.0,0.0,,,,,,
acyqu01,34.75,6.030137904058058,0.04902376910016978,3.5917113308254818,2.4057567754511724,5.924999999999999,0.625,0.7366014458981103,1.2678739860403696,1.5464458703685209,2.6535559328428597,28.0,9.775,0.616,0.3,0.688,4.0,0.5,10.48,,3.28,32.0,37.0,13.0
adamsha01,32.5,11.632398376198779,1.9053590889276373,2.685259099825632,,5.425,1.975,1.8306315387968612,0.6720248474280732,,,27.8,14.125,0.5002500000000001,0.28850000000000003,0.7112499999999999,4.0,0.75,,,,,,
adamsjo01,34.5,11.549242424242424,4.30050505050505,4.943181818181818,1.2487373737373737,4.55,2.05,2.42550505050505,0.2512626262626263,1.356060606060606,2.128787878787879,30.200000000000003,16.35,0.46599999999999997,0.3315,0.8394999999999999,2.0,1.0,12.13,3.05,3.5,24.5,29.5,
adamsmi01,29.75,11.060092276674938,,4.206111714226634,,2.6500000000000004,3.875,2.264195616211745,0.10278768610421836,2.7408201509511994,1.9870903122415218,29.025000000000002,13.524999999999999,0.47450000000000003,,0.7257499999999999,4.0,0.0,,,,,,
adamsst01,32.0,5.46875,0.0,2.1875,2.8125,6.3,0.6,0.65625,2.03125,1.09375,1.625,23.4,7.2,0.5710000000000001,,0.44299999999999995,1.0,0.0,11.85,3.02,3.4,28.5,33.0,16.0
addisra01,31.5,11.557711693548386,,3.308719758064516,,5.15,2.5250000000000004,1.172883064516129,0.5158770161290323,1.955141129032258,2.592741935483871,30.1,14.875,0.533,,0.7517499999999999,4.0,0.0,,,,,,
adrieje01,33.25,8.77117953730857,0.045311990876507,4.923875855327468,,8.45,1.1,0.5930881394591072,1.146505376344086,2.2512626262626263,,,12.000000000000002,0.5289999999999999,0.16666666666666666,0.61,4.0,0.0,11.34,,3.32,27.5,31.5,16.0
afflaar01,34.666666666666664,10.732979664014147,5.249238628548974,3.5571765399351603,,3.4333333333333336,1.9666666666666668,0.6157284605560468,0.19726888692405933,,,32.53333333333333,14.5,0.455,0.37566666666666665,0.7719999999999999,3.0,0.6666666666666666,,,,,,
agerma01,31.0,9.289958407605466,4.184259259259259,3.0705486234898,,3.375,1.4,0.48208061002178654,0.3192661913250148,,,25.075000000000003,12.149999999999999,0.43000000000000005,0.381,0.7657499999999999,4.0,0.0,11.73,,3.22,29.5,35.0,11.0
aguirma01,29.666666666666668,17.771295155993432,,6.6982245484400655,,7.933333333333333,3.3333333333333335,1.6323891625615765,0.6096059113300493,3.4224137931034484,2.7875615763546797,37.36666666666667,24.599999999999998,0.5473333333333333,,0.7683333333333332,3.0,0.0,,,,,,
ahearbl01,32.25,8.885531219452592,5.246364858260019,3.5684338343108504,,1.7249999999999999,1.7999999999999998,0.7329698191593352,0.04665353128054741,,,26.549999999999997,13.025,0.41774999999999995,0.4045,0.9457500000000001,4.0,0.0,,,,,,
aingeda01,29.5,15.786294699872286,,5.069023387611749,,4.575,4.6,,,,,35.300000000000004,20.75,0.5282499999999999,,0.8095000000000001,4.0,0.0,,,,,,
akognjo01,29.75,11.880042989417989,7.328083664021164,2.5343501984126986,,2.5999999999999996,1.275,0.8467261904761905,0.11115244708994709,2.171875,,,14.575,0.38775,0.36125,0.72975,4.0,0.0,,,,,,
alabiso01,25.666666666666668,5.779464285714286,0.009523809523809523,2.4309523809523808,2.46875,4.6000000000000005,0.26666666666666666,0.4130952380952381,1.843154761904762,1.5354166666666667,2.34375,25.6,7.866666666666667,0.5193333333333333,0.0,0.6766666666666667,3.0,0.0,13.199999999999998,,3.68,22.5,26.0,10.0
alarima01,33.25,11.190600433721876,0.07142857142857142,4.482740918948225,,6.249999999999999,1.2,0.8676318107888317,0.7808230550284629,2.0386503795066413,2.925828476551911,30.3,15.899999999999999,0.54725,0.0,0.7969999999999999,4.0,0.0,,,,,,
