Name,G,FGA,3PA,FTA,ORB,TRB.1,AST.1,STL,BLK,TOV,PF,MP.1,PTS.1,FG%,3P%,FT%,Years,AP,LAT,SR,TQS,SVL,MVL,MBP,VORP_Max
adrieje01,33.25,8.771179537308571,0.045311990876507,4.923875855327468,,8.45,1.1,0.5930881394591072,1.146505376344086,2.2512626262626263,,,12.000000000000002,0.5289999999999999,0.16666666666666666,0.61,4.0,0.0,11.34,,3.32,27.5,31.5,16.0,0.2
afflaar01,34.666666666666664,10.732979664014149,5.249238628548974,3.5571765399351603,,3.4333333333333336,1.9666666666666668,0.6157284605560468,0.19726888692405933,,,32.53333333333333,14.5,0.455,0.37566666666666665,0.7719999999999999,3.0,0.6666666666666666,,,,,,,2.4
agerma01,31.0,9.289958407605466,4.1842592592592585,3.0705486234898003,,3.375,1.4,0.4820806100217866,0.3192661913250148,,,25.075000000000006,12.15,0.4300000000000001,0.381,0.7657499999999999,4.0,0.0,11.73,,3.22,29.5,35.0,11.0,0.0
aguirma01,29.66666666666667,17.771295155993432,,6.6982245484400655,,7.933333333333333,3.333333333333333,1.6323891625615763,0.6096059113300493,3.4224137931034484,2.78756157635468,37.36666666666667,24.6,0.5473333333333333,,0.7683333333333332,3.0,0.0,,,,,,,1.4
ahearbl01,32.25,8.885531219452592,5.246364858260018,3.5684338343108504,,1.725,1.7999999999999998,0.7329698191593352,0.04665353128054741,,,26.55,13.025,0.41775,0.4045,0.94575,4.0,0.0,,,,,,,0.0
aingeda01,29.5,15.786294699872286,,5.069023387611749,,4.575,4.6,,,,,35.30000000000001,20.75,0.5282499999999999,,0.8095000000000001,4.0,0.0,,,,,,,2.5
akognjo01,29.75,11.880042989417989,7.328083664021165,2.5343501984126986,,2.6,1.275,0.8467261904761905,0.11115244708994708,2.171875,,,14.575,0.38775,0.36125,0.72975,4.0,0.0,,,,,,,0.0
alabiso01,25.66666666666667,5.779464285714287,0.009523809523809523,2.4309523809523808,2.46875,4.6000000000000005,0.26666666666666666,0.4130952380952381,1.8431547619047621,1.5354166666666669,2.34375,25.6,7.866666666666667,0.5193333333333333,0.0,0.6766666666666667,3.0,0.0,13.199999999999998,,3.68,22.5,26.0,10.0,-0.1
alarima01,33.25,11.190600433721876,0.07142857142857142,4.482740918948225,,6.249999999999999,1.2,0.8676318107888317,0.7808230550284629,2.0386503795066413,2.9258284765519114,30.3,15.9,0.54725,0.0,0.7969999999999999,4.0,0.0,,,,,,,0.5
aldrico01,37.0,6.316798941798942,0.0,3.2555555555555564,3.055555555555556,7.966666666666666,0.6666666666666666,0.5416666666666666,2.335978835978836,1.226851851851852,2.555555555555556,26.8,9.666666666666666,0.5593333333333333,,0.7183333333333334,3.0,1.0,11.48,,3.35,23.0,28.0,10.0,1.4
aldrila01,26.5,7.890202702702703,0.0,4.5396959459459465,,7.55,0.7,1.2069256756756757,1.7364864864864864,,,27.950000000000006,12.45,0.6159999999999999,,0.6515,2.0,0.5,12.02,,3.43,26.5,34.0,8.0,3.5
alexacl01,28.0,4.607142857142857,0.0,2.821428571428572,1.9642857142857144,5.3,0.4,0.17857142857142858,1.3214285714285714,1.0,2.0357142857142856,17.6,7.1,0.5660000000000001,,0.6709999999999999,1.0,1.0,,,,,,,0.0
alexaco01,28.0,12.851238188334964,4.992684913652655,3.9299608993157378,,3.633333333333333,4.833333333333333,1.2270446399478658,0.15557184750733136,3.3892798957315087,2.2205930270446403,34.03333333333333,15.566666666666668,0.42700000000000005,0.33799999999999997,0.6973333333333334,3.0,0.3333333333333333,,,,,,,0.7
alexaco02,28.0,15.666956018518519,4.04420405982906,3.881143162393162,,3.925,2.2,1.1199697293447293,0.18467325498575501,1.9381232193732192,2.1827368233618234,30.8,18.725,0.45575,0.40125,0.7662500000000001,4.0,0.0,,,,,,,0.0
