PLAYER,POS,"LANE AGILITY TIME 
(SECONDS)","SHUTTLE RUN 
(SECONDS)","THREE QUARTER SPRINT 
(SECONDS)","STANDING VERTICAL LEAP 
(INCHES)","MAX VERTICAL LEAP 
(INCHES)","MAX BENCH PRESS 
(REPETITIONS)"
Mouhammadou Jaiteh,C-PF,11.83,3.08,3.38,24.5,31.5,7
Myles Turner,C-PF,-,-,-,-,-,-
Norman Powell,SG,10.69,3.2,3.2,32.5,40.5,5
Olivier Hanlan,PG-SG,11.41,3.12,3.25,28,34,19
Pat Connaughton,SG,10.58,3.08,3.2,37.5,44,13
Quinn Cook,PG,11.44,3.41,3.38,24.5,31,14
R.J. Hunter,SG,10.87,2.91,3.26,27.5,33.5,1
Rakeem Christmas,PF-C,11.6,3.3,3.47,29,32,9
Rashad Vaughn,SG,11.4,3.1,3.21,28,34,5
Richaun Holmes,PF,11.24,3.31,3.32,32.5,36,15
Robert Upshaw,C,-,-,-,-,-,-
Rondae Hollis-Jefferson,SF,10.41,3.19,3.12,32,38,13
Ryan Boatright,PG,10.71,3.05,3.26,32,41,10
Sam Dekker,SF,10.64,2.96,3.28,25.5,34.5,5
Stanley Johnson,SF,-,-,-,-,-,-
TJ McConnell,PG,10.95,3.09,3.3,26,31.5,7
TaShawn Thomas,PF,11.84,3.24,3.47,26,30.5,9
Terran Petteway,SG,10.91,3.1,3.32,25,31,15
Terry Rozier,PG-SG,10.84,2.84,3.15,33,38,7
Treveon Graham,SF,11.64,3.15,3.3,28.5,31.5,11
Trey Lyles,PF,-,-,-,-,-,-
Tyler Harvey,SG,10.56,2.93,3.44,26,28.5,1
Tyus Jones,PG,11.84,2.95,3.32,26.5,32.5,2
Vince Hunter,PF,11.19,3.06,3.26,33.5,37.5,13
Willie Cauley-Stein,C,-,-,-,-,-,-
Aaron Craft,PG,10.78,2.9,3.26,29,32,-
Aaron Gordon,PF,10.81,2.76,3.27,32.5,39,-
Adreian Payne,PF,-,-,-,-,-,-
Alec Brown,PF,12.05,2.91,3.48,27,30,-
Alex Kirk,PF,11.2,3.19,3.48,28.5,31.5,-
C.J. Fair,SF,11,3.06,3.32,27,35,-
C.J. Wilcox,SG,11.3,2.92,3.22,31,37.5,-
Cameron Bairstow,PF,11.39,3.09,3.37,31,33.5,-
Cleanthony Early,SF,11.15,2.96,3.18,34,40,-
Cory Jefferson,PF,12.63,3.39,3.36,33,37.5,-
Dante Exum,SG,10.75,2.88,3.19,31.5,34.5,-
