PLAYER,POS,"LANE AGILITY TIME 
(SECONDS)","SHUTTLE RUN 
(SECONDS)","THREE QUARTER SPRINT 
(SECONDS)","STANDING VERTICAL LEAP 
(INCHES)","MAX VERTICAL LEAP 
(INCHES)","MAX BENCH PRESS 
(REPETITIONS)"
Jodie Meeks,SG,10.96,-,3.1,28.5,37,14
Joe Ingles,SF,10.66,-,3.3,26,31,3
Jonny Flynn,PG,10.86,-,3.23,33,40,10
Jordan Hill,PF-C,12.23,-,3.3,31,35,11
Josh Heytvelt,PF-C,11.67,-,3.38,28.5,34,15
Jrue Holiday,PG-SG,10.64,-,3.21,28.5,34,6
Marcus Thornton,SG,10.73,-,3.28,31,33,14
Omri Casspi,SF,11.15,-,3.28,25.5,32.5,2
Patty Mills,PG,10.87,-,3.1,27.5,33,8
Rodrigue Beaubois,PG,10.49,-,3.15,29.5,39,3
Sam Young,SF-SG,11.47,-,3.45,27.5,33,-
Stephen Curry,PG-SG,11.07,-,3.28,29.5,35.5,10
Taj Gibson,PF,11.56,-,3.41,25.5,30,12
Terrence Williams,SG-SF,11.15,-,3.18,30.5,37,9
Toney Douglas,PG,10.63,-,3.03,28,32.5,15
Ty Lawson,PG,10.98,-,3.12,29,36.5,14
Tyler Hansbrough,PF,11.12,-,3.27,27.5,34,18
Tyler Smith,SF,10.69,-,3.24,29,33.5,10
Tyreke Evans,PG-SG,11.81,-,3.17,28.5,34,7
Wayne Ellington,SG,11.14,-,3.2,31.5,38,13
Aleks Maric,C,11.76,-,3.35,23,28,15
Anthony Randolph,PF-SF,11.86,-,3.26,29,35,7
Brian Butch,C-PF,11.87,-,3.52,24,26.5,9
Brian Roberts,PG,10.65,-,3.05,31.5,36.5,10
Brook Lopez,C,12.77,-,3.57,27.5,30.5,7
Bryce Taylor,SG,11.08,-,3.19,34.5,41,16
Charles Rhodes,PF,11.51,-,3.13,26.5,33.5,14
Chris Daniels,C-PF,12.72,-,3.56,26,28.5,11
D.J. Augustin,PG,11.27,-,3.07,28.5,35,2
Darnell Jackson,PF,11.75,-,3.26,27,31,11
Darrell Arthur,PF,12.18,-,3.14,28.5,30,12
David Padgett,C-PF,12.45,-,3.45,24,28,17
Davon Jefferson,SF,12.02,-,3.36,27,32,2
DeAndre Jordan,C,12.3,-,3.27,26,30.5,8
DeMarcus Nelson,PG-SG,10.54,-,3.13,34.5,38.5,19
DeVon Hardin,C-PF,11.49,-,3.33,29.5,32,20
Deron Washington,SF,11.03,-,3.09,34,40,7
Derrick Rose,PG,11.69,-,3.05,34.5,40,10
Donte Greene,SF-PF,11.21,-,3.2,27.5,31.5,2
Drew Neitzel,PG,11.19,-,3.2,25.5,32,10
Eric Gordon,SG,10.81,-,3.01,32,40,15
Frank Elegar,PF,11.86,-,3.17,33.5,37.5,11
Gary Forbes,SG,11.45,-,3.25,27.5,33.5,13
George Hill,PG,12.2,-,3.07,34,37.5,9
J.R. Giddens,SG,-,-,-,-,-,10
JaVale McGee,C-PF,12.75,-,3.25,27,32.5,7
Jamar Butler,PG,-,-,-,-,-,15
James Gist,PF,11.37,-,3.14,30.5,35,5
James Mays,PF,11.23,-,3.19,29.5,35,13
Jeremy Pargo,PG,10.65,-,3.07,32,37,7
Jerryd Bayless,PG-SG,11.26,-,3.07,31,38,10
Jiri Hubalek,C-PF,12.26,-,3.54,20.5,26,2
Joe Alexander,SF-PF,11.33,-,2.99,32.5,38.5,24
Joe Crawford,SG,11.67,-,3.22,31,36,13
Joey Dorsey,PF-C,11.84,-,3.2,27.5,33,19
John Riek,C,-,-,-,-,-,-
Joseph Jones,PF,11.61,-,3.33,25.5,31,16
Josh Duncan,PF,12.47,-,3.26,28,32,26
Keith Brumbaugh,SF-PF,11.65,-,3.28,26,27,2
Kentrell Gransberry,C,12.16,-,3.32,24.5,27.5,18
Kevin Love,PF,11.17,-,3.22,29.5,35,18
Kyle Hines,SF-PF,12.17,-,3.4,28.5,33,16
Lester Hudson,PG,11.15,-,3.16,30.5,36,12
Longar Longar,C,-,-,-,-,-,14
Luc Mbah a Moute,SF,11.71,-,3.17,32,38.5,11
Maarty Leunen,SF,11.57,-,3.36,29.5,34.5,14
Malik Hairston,SG,11.33,-,3.08,30.5,38,13
Marcelus Kemp,SG,11.79,-,3.39,26,30,9
Marcus Dove,SF-PF,11.59,-,3.26,27.5,33.5,10
Mark Tyndale,SG-SF,12.52,-,3.14,27,33.5,5
Aaron Brooks,PG,10.57,-,3.2,32.5,39.5,6
Aaron Gray,C,12.07,-,3.7,27,32.5,17
Acie Law,PG,11,-,3.22,29,34,8
Al Horford,PF,12.15,-,3.37,31,35.5,20
Al Thornton,SF,11.96,-,3.16,35,41,9
Ali Traore,C-PF,12.16,-,3.52,25,29,11
Antanas Kavaliauskas,PF,11.19,-,3.42,25.5,30,19
Anthony Tolliver,PF,11.49,-,3.29,28.5,30,21
Avis Wyatt,PF,11.46,-,3.23,27.5,32,12
Blake Schilb,SG,11.63,-,3.36,26.5,33.5,11
Bobby Brown,PG,11.27,-,3.25,32.5,41,3
Brad Newley,SG,11.77,-,3.29,29.5,31.5,3
Brandan Wright,PF,11.76,-,3.31,30.5,35.5,2
Brandon Heath,PG,11.39,-,3.28,32,36,11
Caleb Green,PF,11.72,-,3.46,28.5,36,9
Carl Landry,PF,11.35,-,3.29,31.5,36.5,21
Cartier Martin,SF,12.1,-,3.43,27,29.5,11
Chris Richard,PF,11.39,-,3.29,26.5,30.5,15
Coby Karl,SG-PG,11.57,-,3.41,32,34.5,9
Coleman Collins,PF,11.47,-,-,30,35,21
Corey Brewer,SF-SG,11.69,-,3.22,30.5,36.5,11
Craig Bradshaw,PF,11.88,-,3.54,26,28,12
Curtis Sumpter,SF,11.3,-,3.22,27.5,32.5,12
DJ Strawberry,SG,10.87,-,3.14,28.5,35,21
DaShaun Wood,PG,11.4,-,3.23,31.5,34.5,13
Daequan Cook,SG,11.12,-,3.22,30,34.5,4
Darryl Watkins,C,11.65,-,3.56,26.5,31,14
Demetris Nichols,SF,10.39,-,3.38,28.5,32.5,16
Dominic James,PG,10.94,-,3.11,33.5,38.5,14
Dominic McGuire,SF,10.95,-,3.25,28.5,34.5,12
Dustin Salisbery,SG,11.07,-,3.12,34,38,11
Ekene Ibekwe,PF,11,-,3.28,34.5,39,10
Greg Oden,C,11.67,-,3.27,32,34,-
Herbert Hill,C,12.31,-,3.39,30.5,34,15
Ivan Radenovic,PF,11.61,-,3.6,23,28,7
JR Reynolds,PG,11.69,-,3.24,27.5,34.5,15
Jamaal Tatum,PG,11.51,-,3.22,28.5,33,7
James Hughes,C,13.31,-,3.37,31,33,8
Jared Dudley,SF,11.32,-,3.45,28,32,14
Jared Jordan,PG,11.02,-,3.39,24.5,28.5,6
Jason Smith,PF,10.96,-,3.29,33.5,37.5,15
Javaris Crittenton,PG,11.6,-,3.32,32.5,38,11
Jeff Green,SF,12,-,3.34,33.5,38,17
Jeremy Hunt,SG,12.11,-,3.29,30.5,33,10
Jermareo Davidson,PF,12.63,-,3.53,27,30,7
Jianlian Yi,,-,-,-,-,-,-
Joakim Noah,PF,11.79,-,3.47,32.5,37.5,12
Josh McRoberts,PF,11.7,-,3.47,27.5,31.5,12
Julian Wright,SF-PF,11.48,-,3.36,28.5,33.5,2
Justin Doellman,PF,-,-,-,-,-,19
Kevin Durant,SF-PF,12.33,-,3.45,26,33.5,0
Kyle Visser,C,12.6,-,3.39,26,29,18
Major Wingate,C,12.14,-,3.47,27.5,30.5,15
Mario Boggan,PF,12.18,-,3.45,24,26.5,12
Marko Lekic,C,11.96,-,3.43,24,30.5,19
Mike Conley,PG,11.63,-,3.09,35.5,40.5,13
Mohamed Abukar,SF,11.78,-,3.37,30.5,35,15
Mustafa Shakur,PG,11.82,-,3.27,28.5,35,11
Nick Young,SG-SF,11,-,3.25,39.5,40.5,6
Quinton Hosley,SF-SG,12.47,-,3.32,28.5,34,12
Ramon Sessions,PG,11.65,-,3.27,29.5,33.5,8
Rashad Jones-Jennings,PF,12.18,-,3.29,25,30,20
Rashaun Freeman,PF,11.43,-,3.41,28,32,20
Renaldas Seibutis,SG,11.33,-,3.39,24,32.5,1
Reyshawn Terry,SF,11.76,-,3.26,31,37.5,18
Rodney Stuckey,SG-PG,11.34,-,3.11,30.5,35,14
Ron Lewis,SG,11.59,-,3.22,33,38,16
Russell Carter,SG,11.61,-,3.29,33,38.5,25
Ryvon Covile,C-PF,12.52,-,3.37,25,30.5,19
Sammy Mejia,SG,11.87,-,3.49,27,31.5,7
Spencer Hawes,PF,11.88,-,3.51,26,29,9
Stephane Lasme,PF,11.73,-,3.22,29.5,36,17
Taurean Green,PG,11.3,-,3.26,29,32.5,8
Thaddeus Young,SF,11.06,-,3.19,34.5,37,13
Trey Johnson,SG,11.78,-,3.31,26.5,35,18
Yue Sun,SF,10.68,-,3.45,29,34,9
Zabian Dowdell,PG,11.13,-,3.29,30,33.5,3
Adam Morrison,SF,11.46,-,3.37,25.5,30.5,11
Allan Ray,SG,11.01,-,3.2,28.5,35.5,9
Antywane Robinson,SF-PF,11.73,-,3.4,29,32.5,12
Blake Schilb,PG-SG,11.25,-,3.43,28.5,34.5,13
Bobby Jones,SF-SG,11.23,-,3.28,28.5,34.5,15
Brad Buckman,PF,12.26,-,3.54,25.5,30.5,10
Brandon Bowman,SF,11.41,-,3.31,31,34,24
Brandon Roy,SG-SF,11.13,-,3.27,34,40.5,6
CJ Watson,PG,11.61,-,3.15,31.5,34,12
Carl Krauser,PG,11.62,-,3.38,26,31,8
Cedric Simmons,PF-C,11.05,-,3.31,30.5,35,15
Chris McCray,SG,11.46,-,3.34,30.5,39,1
Chris Quinn,PG-SG,11.25,-,3.25,32,37,7
Craig Smith,PF,11.59,-,3.4,30,29.5,-
Curtis Stinson,SG,10.95,-,3.27,28,31.5,17
Curtis Withers,PF-SF,11.54,-,3.1,35,36.5,14
Dan Grunfeld,SF-SG,11.3,-,3.46,28,33.5,16
Daniel Horton,PG-SG,10.35,-,3.16,30,36.5,17
Danilo Pinnock,PG-SG,11.91,-,3.08,29.5,35.5,7
Darius Washington,PG,10.71,-,3.26,29,37.5,9
David Noel,SF-SG,10.54,-,3.07,34.5,38.5,20
Denham Brown,SG-SF,11.42,-,3.25,28,34.5,12
Dwayne Mitchell,SG-SF,11.45,-,3.16,37.5,41.5,17
Eric Hicks,PF,12.06,-,3.34,30,34,20
Eric Williams,C-PF,11.71,-,3.56,28.5,29,17
Frans Steyn,C,11.67,-,3.38,28.5,29.5,-
Gerry McNamara,PG-SG,11.28,-,3.4,27,32,3
Hilton Armstrong,C-PF,12.28,-,3.53,28.5,31.5,13
Ian Vouyoukas,C-PF,13.7,-,3.72,23,28,8
J.P. Batista,PF,11.62,-,3.38,26,30.5,26
JJ Redick,SG,10.94,-,3.29,27.5,33,6
James Augustine,PF,10.54,-,3.25,30,32.5,13
Joah Tucker,SF-SG,11.58,-,3.31,29,34,19
Jordan Farmar,PG,11.07,-,3.17,33.5,42,11
Justin Williams,C-PF,11.9,-,3.31,26.5,31.5,7
Kenny Adeleke,PF-C,11.57,-,3.47,28.5,30.5,26
Keydren Clark,PG,11.03,-,3.11,31,34,13
LaMarcus Aldridge,PF-C,12.02,-,3.43,26.5,34,8
Lou Amundson,PF,10.58,-,3.2,32,35.5,14
Marco Killingsworth,PF,11.42,-,3.34,28,32,13
Marcus Slaughter,PF-SF,11.56,-,3.4,30,34,9
Marcus Williams,PG,11.3,-,3.4,24.5,28,4
Mardy Collins,PG-SG,12,-,3.27,31.5,37.5,9
Matt Haryasz,PF-C,11.34,-,3.46,27.5,31.5,10
Maurice Ager,SG-PG,11.73,-,3.22,29.5,35,11
Michael Southhall,C,12.29,-,3.51,31.5,37,2
Morris Almond,SG-SF,11.45,-,3.19,31,35.5,13
Mouhamed Sene,C,12.52,-,3.38,28.5,31,7
Nick George,SF-SG,11.69,-,3.25,30.5,38,14
Nik Caner-Medley,SF,10.57,-,3.21,28.5,35.5,17
Patrick O'Bryant,C,12.68,-,3.63,26.5,30,13
Paul Miller,PF-C,12.25,-,3.66,29,35.5,25
Paul Millsap,PF,11.67,-,3.3,28.5,32.5,15
Pops Mensah-Bonsu,PF-C,11.47,-,3.29,31.5,36,19
Randy Foye,SG-PG,10.53,-,3.23,32,38,14
Rashad Anderson,SG,11.77,-,3.48,27.5,32.5,13
Renaldo Balkman,SF-PF,11.58,-,3.22,30.5,35,9
Rodney Carney,SG-SF,10.57,-,3.06,32,38.5,10
Ronnie Brewer,SG-PG,11.32,-,3.14,35,41,19
Rudy Gay,SF-PF,11.03,-,3.32,33,40.5,9
Sean Dockery,PG-SG,10.88,-,3.34,29,33,4
Shawne Williams,SF-PF,10.69,-,3.3,32,31,-
Shelden Williams,PF-C,11.53,-,3.59,29,33.5,25
Solomon Jones,PF-C,11.27,-,3.3,32,39,6
Steve Novak,SF,11.11,-,3.37,24.5,31,5
Steven Smith,SF-PF,12.08,-,3.4,29.5,34.5,15
Taj Gray,PF-SF,11.02,-,3.45,28.5,33,10
Taquan Dean,SG-PG,10.53,-,3.2,30.5,34.5,16
Tarence Kinsey,SF-SG,10.67,-,3.3,29,35.5,5
Tedric Hill,SF-PF,12.23,-,3.24,30,36.5,1
Terence Dials,PF-C,11.54,-,3.5,26.5,30,16
Torin Francis,PF-C,11.97,-,3.51,26.5,32,9
Tyrus Thomas,PF-SF,11.36,-,3.2,34,39.5,8
Viktor Keyru,SG-PG,11.4,-,3.24,29,34.5,11
Will Blalock,PG,11.08,-,3.18,35,40,8
Yemi Nicholson,PF-C,12.57,-,3.65,26.5,26,8
Aaron Miles,PG,10.69,-,3.22,32,37.5,7
Alan Anderson,SG-SF,10.32,-,3.27,26.5,30.5,10
Alex Acker,SG,11.67,-,3.35,28,32,11
Andrew Bogut,C-PF,12.06,-,3.51,27.5,33.5,13
Anthony Roberson,PG,11.17,-,3.19,31.5,37,14
Antoine Wright,SF-SG,11.45,-,3.41,26.5,29.5,12
Bracey Wright,SG-PG,11.58,-,3.27,30,36,8
Brandon Rush,SG-SF,11.33,-,3.31,32.5,35,0
Carl Krauser,PG-SG,11.62,-,3.38,26,31,8
Carlos Powell,SF-PF,11.54,-,3.21,27.5,34.5,12
Channing Frye,PF-C,11.6,-,3.38,27.5,31,19
Charles Hayes,SF-PF,10.7,-,3.34,30,33,20
Charlie Villanueva,PF-SF,10.86,-,3.3,26,31,11
Chris Paul,PG,11.09,-,3.22,32,38,10
Chris Taft,PF,11.26,-,3.27,28.5,33,14
Chris Thomas,PG,10.84,-,3.33,28.5,34,14
D'Or Fischer,C-PF,12.53,-,3.5,28,30.5,2
Danny Granger,,10.84,-,3.34,31,34,10
Daryl Dorsey,PG,11.41,-,3.24,25,30.5,0
David Lee,PF,10.8,-,3.19,30.5,32.5,14
David Lucas,PF,-,-,-,-,-,17
David Simon,C-PF,11.98,-,3.44,28,33,18
Dee Brown,PG-SG,-,-,-,-,-,-
Deji Akindele,C-PF,12.58,-,3.35,30.5,32.5,13
Deng Gai,PF-C,12.51,-,3.27,31.5,35.5,11
Deron Williams,PG,10.83,-,3.25,30,35,15
Dijon Thompson,SF-SG,-,-,-,-,-,-
Drago Pasalic,SF-PF,12.12,-,3.48,25,30.5,11
Dwayne Jones,C-PF,11.87,-,3.25,28,31.5,15
Eddie Basden,SG-SF,10.52,-,3.21,33,36.5,14
Eddy Fobbs,C-PF,11.53,-,3.28,29.5,34,12
Ellis Myles,PF,12.8,-,3.42,26,28.5,15
Ersan Ilyasova,SF,11.59,-,3.56,22,30,2
Francisco Garcia,SF-SG,10.63,-,3.33,27.5,31.5,5
Gerald Green,SF,11.2,-,3.21,31.5,39,7
Hakim Warrick,PF-SF,-,-,3.22,33,38,11
Ike Diogu,PF,11.94,-,3.45,28,31,21
Ivan McFarlin,PF,10.64,-,3.27,26.5,32,10
Jared Homan,C-PF,-,-,-,-,-,16
Jarrett Jack,PG,10.87,-,3.24,26,28.5,5
Jason Klotz,C-PF,13.13,-,3.68,21.5,27,12
Jason Maxiell,PF,-,-,-,-,-,-
Jawad Williams,SF,11.39,-,3.23,28,34,15
Joey Graham,SF,10.62,-,3.05,30,36,26
John Gilchrist,PG,11.48,-,3.15,30.5,36.5,12
John Lucas III,PG,10.44,-,3.14,29,34,4
Juan Mendez,PF-SF,11.7,-,3.24,29,33,14
Julius Hodge,SG-SF,10.89,-,3.18,24.5,29,14
Keith Langford,SG-SF,11.38,-,3.23,32,29.5,8
Kevin Pittsnogle,PF,-,-,-,-,-,-
Larry O'Bannon,SG,11.44,-,3.18,31.5,36.5,17
Luke Schenscher,C,12.4,-,3.47,23.5,26.5,1
Luther Head,PG-SG,11.12,-,3.21,31.5,38.5,14
Marcin Gortat,PF-C,11.48,-,3.33,29.5,36,18
Marcus Campbell,C,-,-,-,-,-,9
Martell Webster,SF,11.39,-,3.39,28,30.5,7
Martynas Andriuskevicius,C-PF,11.94,-,3.42,24,27.5,0
Marvin Williams,PF-SF,11.11,-,3.17,29.5,35,12
Mike Bell,SF-PF,11.73,-,3.29,33.5,39.5,13
Mindaugas Katelynas,SF-PF,11.6,-,3.38,31.5,35,7
Monta Ellis,SG-PG,12.13,-,3.31,26.5,31.5,0
Mustafa Al-Sayyad,PF-C,11.56,-,3.42,26.5,30.5,-
Nemanja Aleksandrov,PF-SF,-,-,-,-,-,5
Omar Thomas,SF-SG,11.11,-,3.27,25,29.5,6
Rashad McCants,SG,10.39,-,3.11,32.5,34.5,15
Rawle Marshall,SG-SF,11.64,-,3.21,30.5,37,7
Raymond Felton,PG,10.5,-,3.06,29,33.5,6
Robert Whaley,PF-C,12.11,-,3.25,28.5,33.5,15
Roger Powell,SF,-,-,-,-,-,-
Ronnie Price,PG,10.49,-,3.29,31.5,39,11
Ronny Turiaf,PF,11.5,-,3.23,30.5,33,15
Rudy Fernandez,SG,10.48,-,3.33,26.5,35.5,0
Sean Banks,SF,11.74,-,3.35,25,31.5,7
Sean May,PF,11.04,-,3.29,30,33,12
Sharrod Ford,PF,11.92,-,3.2,28.5,37,9
Taylor Coppenrath,PF-SF,11.51,-,3.44,24.5,27,5
Travis Diener,PG-SG,10.85,-,3.26,24.5,31,1
Tre Simmons,SG-SF,10.8,-,3.18,27,31.5,3
Wayne Simien,PF,11.05,-,3.35,27,27.5,11
Will Bynum,PG-SG,11.12,-,3,33,40.5,15
Will Conroy,PG,10.51,-,3.28,30.5,36.5,14
Aerick Sanders,PF,11.98,-,3.37,24.5,30.5,9
Al Jefferson,PF-SF,13.08,-,3.29,28.5,30,3
Aleksandar Capin,PG,11.5,-,3.27,23,29,4
Ales Chan,C,12.9,-,3.62,21,29,2
Andre Barrett,PG,10.63,-,3.08,29,34.5,13
Andre Brown,PF-C,11.7,-,3.22,32,35.5,18
Andre Emmett,SG-SF,-,-,-,-,-,-
Andre Iguodala,SG-SF,11.17,-,3.18,30.5,34.5,4
Andris Biedrins,C,-,-,-,-,-,-
Antonio Burks,PG,-,-,-,-,-,9
Arthur Johnson,PF-C,11.81,-,3.38,26.5,28.5,14
Ben Gordon,PG-SG,11.28,-,3.19,31.5,37.5,12
Beno Udrih,PG,-,-,-,-,-,2
Bernard Robinson,SG-SF,10.91,-,3.17,28.5,34.5,14
Blagota Sekulic,SF-PF,10.93,-,3.39,23.5,31.5,8
Blake Stepp,PG,-,-,-,-,-,-
Brandon Bass,PF,11.61,-,3.24,31.5,33,18
Brian Boddicker,SF-PF,10.93,-,3.25,28,30,16
Bryant Matthews,SF-SG,11.08,-,3.13,29,34.5,13
Chris Duhon,PG,10.45,-,3.14,31.5,35,7
Chris Garnett,C-PF,11.75,-,3.36,27,31.5,22
Damien Wilkins,SG-SF,11.92,-,3.15,26.5,31,15
Delonte West,PG-SG,11.2,-,3.15,30,35,12
Desmon Farmer,SG,10.89,-,3.2,24,31,12
Devin Harris,PG,11.03,-,3.19,30.5,37,5
Drago Pasalic,PF,12.97,-,3.56,25.5,30,8
Dwight Howard,PF-C,11.21,-,3.14,30.5,35.5,7
Dylan Page,SF,10.99,-,3.4,26,30,17
Emeka Okafor,C-PF,12.32,-,3.15,31.5,34,22
Erik Daniels,SF-PF,11.38,-,3.19,31,32,4
Herve Lamizana,SF-PF,-,-,-,-,-,-
Ivan Koljevic,PG,11.07,-,3.28,26,28.5,4
J.R. Smith,SG-SF,10.93,-,3.21,29,35.5,5
Jackie Butler,C,13.32,-,3.4,23,25,14
Jackson Vroman,PF-C,10.75,-,3.25,29.5,33.5,12
Jaime Lloreda,PF,12.93,-,3.23,25.5,29.5,6
Jameer Nelson,PG,10.95,-,3.14,28.5,33.5,15
James Moore,PF-SF,11.01,-,3.21,28.5,32.5,-
Jared Reiner,C-PF,12.65,-,3.56,22,26,15
John Edwards,C,-,-,-,-,-,15
Josh Childress,SG-SF,11.95,-,3.38,29,36,11
Josh Smith,SG-SF,11.43,-,3.24,32.5,39.5,12
Kelvin Pena,SG-PG,11.5,-,3.24,27.5,32.5,1
Kirk Snyder,SG-SF,10.79,-,3.13,30,35,19
Kris Humphries,PF,11.33,-,3.2,29.5,36,22
Lawrence Roberts,PF,12.52,-,3.3,27.5,33,18
Luis Flores,PG-SG,10.97,-,3.1,29,32,15
Luke Jackson,SF-SG,11.1,-,3.24,26.5,36,13
Luol Deng,SF,11.46,-,3.34,27.5,31.5,5
Marcus Douthit,C-PF,11.64,-,3.34,25.5,31.5,1
Marcus Melvin,SF-PF,11.81,-,3.33,25,30.5,11
Marcus Moore,PG-SG,11.31,-,3.34,25,30,-
Marko Tomas,SG-PG,11.8,-,3.23,32,31.5,-
Martin Iti,C-PF,12.28,-,3.41,26.5,32.5,13
Matt Freije,SF-PF,11.15,-,3.25,29.5,31,13
Michel Morandais,SG-SF,11.45,-,3.22,30.5,33.5,16
Mike Williams,SF,11.59,-,3.42,23.5,27.5,-
Misan Nikagbatse,SG-PG,11.27,-,3.32,27.5,32.5,11
Nate Robinson,PG,10.75,-,2.96,35.5,43.5,13
Nate Williams,PF-SF,12.6,-,3.35,23.5,26,1
Omar Quintero,PG,11.37,-,3.25,25,29,2
Pape Sow,PF-C,12.13,-,3.27,28,31.5,18
Peter Ramos,C,12.61,-,3.6,24,26.5,2
Randall Orr,PF-SF,11.18,-,3.27,26.5,33,6
Rashad Wright,PG,11.15,-,3.28,28.5,32.5,10
Rich Melzer,PF-SF,11.74,-,3.39,24.5,28.5,8
Rickey Paulding,SG,11.14,-,3.17,30,36,17
Ricky Minard,PG-SG,10.94,-,3.1,27.5,33,13
Rolando Howell,PF,11.91,-,3.28,28.5,34.5,-
Romain Sato,SG,11.27,-,3.18,31.5,35.5,8
Ryan Gomes,SF-PF,12.49,-,3.24,26.5,30.5,9
Sergei Lishouk,PF-SF,-,-,-,-,-,-
Shaun Livingston,PG-SG,10.72,-,3.23,26.5,30,-
TJ Cummings,SF,11.58,-,3.12,27,31,6
Tiago Splitter,C-PF,11.65,-,3.38,26,31.5,8
Tim Bowers,PG-SG,11.24,-,3.21,37,43.5,13
Tim Pickett,PG-SG,-,-,-,-,-,-
Tom Timmerrmans,PF-C,13.13,-,3.63,23,26.5,15
Tony Allen,SG,10.7,-,3.19,31.5,36.5,17
Tony Bobbitt,SG,-,-,-,-,-,1
Trevor Ariza,SG-SF,11.63,-,3.29,29.5,32,8
Aleksander Djuric,C-PF,11.97,-,3.65,23.5,27.5,3
Aloysius Anagonye,PF,12.93,-,3.3,31,34.5,6
Bernard King,SG-PG,11.37,-,3.18,28,33.5,11
Brandin Knight,PG,-,-,-,-,-,6
Brandon Hunter,PF,11.13,-,3.21,32.5,35,25
Brian Cook,PF-SF,11.87,-,3.45,25,29,6
Britton Johnsen,SF-PF,10.67,-,3.08,26.5,32.5,13
Carl English,SG-PG,11.77,-,3.32,28,34,11
Carmelo Anthony,SF,11.4,-,3.15,30.5,33.5,7
Chris Bosh,PF,11.8,-,3.3,30.5,33,9
Chris Kaman,C-PF,11.33,-,3.37,23.5,30.5,15
Chris Marcus,C,-,-,-,-,-,12
Chris Massie,PF-C,12.48,-,3.22,26.5,33,13
Dahntay Jones,SG-SF,10.91,-,3.11,30,39.5,-
Darko Milicic,PF,11.3,-,3.36,26.5,32.5,13
David West,PF-SF,12.18,-,3.43,28.5,31.5,11
Derrick Zimmerman,PG,11.09,-,3.1,34,40.5,13
Donald Little,PF-C,11.18,-,3.2,33,37,18
Doug Wrenn,SF-PF,11.38,-,3.17,34.5,41,15
Dwyane Wade,SG-SF,10.56,-,3.08,31.5,35,9
Ebi Ere,SG,11.38,-,3.16,29.5,33.5,-
Hollis Price,PG-SG,10.72,-,3.25,27.5,33,1
James Jones,SF,11.18,-,3.19,30.5,33,9
James Lang,C-PF,14.01,-,3.55,24.5,32,8
Jason Gardner,PG,10.62,-,3.17,30.5,35,10
Jason Kapono,SG-SF,11.04,-,3.38,23.5,30,8
Jason Keep,C-PF,11.18,-,3.3,29.5,34,27
Jeff Newton,PF,11.18,-,3.23,27.5,34,9
Jermaine Boyette,PG-SG,11.2,-,3.07,29,35.5,14
Jerome Beasley,SF-PF,11.36,-,3.25,27,32,10
Jerry Holman,PF,11.54,-,3.24,33,37.5,11
Joe Shipp,SG,11.75,-,3.2,29,34.5,17
Joel Cornette,PF-SF,11.27,-,3.14,26,32.5,13
Josh Howard,SF-SG,10.89,-,3.09,33,36.5,4
Josh Powell,PF-SF,11.72,-,3.2,32.5,38.5,15
Justin Hamilton,PG-SG,11.18,-,3.18,30,37.5,17
Keith Bogans,SG,11.43,-,3.25,29.5,35,10
Kirk Hinrich,PG-SG,10.98,-,3.1,29,33.5,10
Kirk Penney,SG-SF,10.44,-,3.04,32,35.5,15
Kyle Korver,SF,11.42,-,3.47,25.5,31.5,13
LaVell Blanchard,SF,11.64,-,3.38,33.5,36.5,12
LeBron James,SF-SG,-,-,-,-,-,-
Luke Ridnour,PG,11,-,3.28,26,32.5,0
Luke Walton,SF-PF,-,-,-,28,-,12
Marcus Hatten,PG,11.5,-,3.15,29.5,37.5,7
Marlon Parmer,PG,-,-,3.42,28,32,13
Marquis Daniels,SG-PG,11.62,-,3.25,30.5,35,6
Marquis Estill,PF-C,12.92,-,3.31,30,36,7
Marvin Stone,C-PF,12.1,-,3.5,25.5,27.5,9
Matt Bonner,PF-SF,11.52,-,3.32,27,32,20
Adam Allenspach,C,11.9,-,3.4,28.5,31,16
Alton Ford,PF,11.7,-,3.16,34.5,36.5,21
Andre Hutson,PF,11.25,-,3.3,29,32.5,17
Anthony Evans,PF,12.56,-,3.31,31.5,33,18
Benjamin Eze,C-PF,13.05,-,3.36,29,32,14
Bobby Simmons,SF,11.69,-,3.41,27.5,34,12
Brandon Armstrong,SG,10.91,-,3.2,30,37,6
Brendan Haywood,C,12.87,-,3.5,27,28.5,17
Brent Wright,PF-SF,12.25,-,3.3,23,29,19
Brian Scalabrine,PF-SF,11.75,-,3.47,27,30.5,14
Calvin Bowman,PF,11.96,-,3.21,28.5,34.5,7
Charles Hathaway,C,-,-,-,-,-,-
Charlie Bell,PG,10.59,-,3.12,31.5,38,15
Cookie Belcher,SG-PG,11.26,-,2.91,35,41.5,7
Damone Brown,SF,11.81,-,3.27,32,37,6
Damone Thornton,PF,11.17,-,3.2,33.5,37.5,19
Darrell Johns,C,12.41,-,3.59,23.5,30,18
Darren Kelly,SG-PG,11.38,-,3.21,30.5,34.5,1
DeMarcus Minor,SG,10.57,-,3.15,29,41,9
DeSagana Diop,C,12.37,-,3.56,21.5,25.5,15
Demetrius Porter,PG,11.5,-,3.34,26,31,5
Earl Watson,PG,10.97,-,3.19,32.5,37.5,4
Eddie Griffin,PF-SF,11.77,-,3.21,26.5,33,3
Eddy Curry,C,12.25,-,3.53,28,31,16
Eric Chenowith,C,12.5,-,3.59,23.5,27.5,6
