Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Season,Name
19,TEXAS,34,1003,159,368,42,112,36,66,33,98,71,44,18,52,80,396,.432,.375,.545,29.5,11.6,2.9,2.1,2009-10,b/bradlav01
,,34,1003,159,368,42,112,36,66,33,98,71,44,18,52,80,396,.432,.375,.545,29.5,11.6,2.9,2.1,Career,b/bradlav01
19,MICHIGAN,31,403,34,56,0,1,16,35,,102,15,9,40,27,84,84,.607,.000,.457,13.0,2.7,3.3,0.5,1989-90,r/rileyer01
20,MICHIGAN,28,840,105,235,0,1,87,115,,242,29,20,78,76,108,297,.447,.000,.757,30.0,10.6,8.6,1.0,1990-91,r/rileyer01
21,MICHIGAN,32,480,82,139,,,37,64,,139,21,7,19,50,84,201,.590,,.578,15.0,6.3,4.3,0.7,1991-92,r/rileyer01
22,MICHIGAN,35,525,78,133,0,2,39,53,,169,14,15,31,37,82,195,.586,.000,.736,15.0,5.6,4.8,0.4,1992-93,r/rileyer01
,,126,2248,299,563,0,4,179,267,,652,79,51,168,190,358,777,.531,.000,.670,17.8,6.2,5.2,0.6,Career,r/rileyer01
18,NEASTERN,32,1030,236,447,,,99,144,,198,48,38,24,83,79,571,.528,,.688,32.2,17.8,6.2,1.5,1983-84,l/lewisre01
19,NEASTERN,31,1082,294,585,,,159,213,,241,55,61,30,88,80,747,.503,,.746,34.9,24.1,7.8,1.8,1984-85,l/lewisre01
20,NEASTERN,30,1118,265,559,,,184,229,,279,66,84,63,81,84,714,.474,,.803,37.3,23.8,9.3,2.2,1985-86,l/lewisre01
21,NEASTERN,29,957,248,507,30,91,150,197,,246,44,43,38,82,82,676,.489,.330,.761,33.0,23.3,8.5,1.5,1986-87,l/lewisre01
,,122,4187,1043,2098,30,91,592,783,,964,213,226,155,334,325,2708,.497,.330,.756,34.3,22.2,7.9,1.7,Career,l/lewisre01
19,LONGBEACH,32,945,147,342,45,136,118,170,,152,52,49,5,52,63,457,.430,.331,.694,29.5,14.3,4.8,1.6,1989-90,h/harrilu01
20,LONGBEACH,28,940,181,457,50,153,140,200,,131,69,47,2,79,63,552,.396,.327,.700,33.6,19.7,4.7,2.5,1990-91,h/harrilu01
21,LONGBEACH,30,1132,197,418,43,117,127,173,,129,97,46,8,59,68,564,.471,.368,.734,37.7,18.8,4.3,3.2,1991-92,h/harrilu01
22,LONGBEACH,32,1166,251,478,73,177,164,212,,169,79,58,7,66,49,739,.525,.412,.774,36.4,23.1,5.3,2.5,1992-93,h/harrilu01
,,122,4183,776,1695,211,583,549,755,,581,297,200,22,256,243,2312,.458,.362,.727,34.3,19.0,4.8,2.4,Career,h/harrilu01
20,TULSA,23,,29,49,0,0,3,11,,49,4,3,17,,,61,.592,,.273,,2.7,2.1,0.2,2006-07,j/jordaje01
21,TULSA,39,,154,273,0,0,102,148,,309,31,15,143,86,,410,.564,,.689,,10.5,7.9,0.8,2007-08,j/jordaje01
22,TULSA,36,,180,307,0,0,137,186,,308,34,14,91,87,,497,.586,,.737,,13.8,8.6,0.9,2008-09,j/jordaje01
23,TULSA,35,1043,184,335,0,0,172,250,84,317,44,16,82,79,98,540,.549,,.688,29.8,15.4,9.1,1.3,2009-10,j/jordaje01
,,133,1043,547,964,0,0,414,595,84,983,113,48,333,252,98,1508,.567,,.696,29.8,11.3,7.4,0.8,Career,j/jordaje01
18,MINNESOTA,26,254,27,70,,,10,23,,65,3,2,5,13,37,64,.386,,.435,9.8,2.5,2.5,0.1,1993-94,t/thomajo02
19,MINNESOTA,31,639,91,195,,,45,84,,144,23,19,11,62,81,227,.467,,.536,20.6,7.3,4.6,0.7,1994-95,t/thomajo02
20,MINNESOTA,32,845,106,221,,,66,127,,206,25,24,24,61,97,278,.480,,.520,26.4,8.7,6.4,0.8,1995-96,t/thomajo02
21,MINNESOTA,35,834,125,217,0,1,66,115,,221,40,30,25,54,86,316,.576,.000,.574,23.8,9.0,6.3,1.1,1996-97,t/thomajo02
,,124,2572,349,703,0,1,187,349,,636,91,75,65,190,301,885,.496,.000,.536,20.7,7.1,5.1,0.7,Career,t/thomajo02
20,ALABAMA,33,917,194,413,64,153,102,146,,130,40,35,15,76,98,554,.470,.418,.699,27.8,16.8,3.9,1.2,1990-91,r/robinja02
21,ALABAMA,34,1217,237,533,83,232,104,146,,138,79,38,10,108,78,661,.445,.358,.712,35.8,19.4,4.1,2.3,1991-92,r/robinja02
22,ALABAMA,29,1000,202,481,78,222,116,170,,130,68,47,21,93,67,598,.420,.351,.682,34.5,20.6,4.5,2.3,1992-93,r/robinja02
,,96,3134,633,1427,225,607,322,462,,398,187,120,46,277,243,1813,.444,.371,.697,32.6,18.9,4.1,1.9,Career,r/robinja02
18,SETONHALL,31,611,82,186,,,68,107,,47,78,35,11,94,71,232,.441,,.636,19.7,7.5,1.5,2.5,1985-86,m/mortojo01
19,SETONHALL,27,734,90,199,2,14,100,137,,70,113,48,8,92,82,282,.452,.143,.730,27.2,10.4,2.6,4.2,1986-87,m/mortojo01
20,SETONHALL,35,1008,156,321,5,17,132,157,,67,166,75,18,130,97,449,.486,.294,.841,28.8,12.8,1.9,4.7,1987-88,m/mortojo01
21,SETONHALL,38,1082,210,482,79,189,159,194,,129,95,49,14,81,106,658,.436,.418,.820,28.5,17.3,3.4,2.5,1988-89,m/mortojo01
,,131,3435,538,1188,86,220,459,595,,313,452,207,51,397,356,1621,.453,.391,.771,26.2,12.4,2.4,3.5,Career,m/mortojo01
21,GEORGIA,29,644,109,208,,,55,102,,190,51,8,48,51,68,273,.524,,.539,22.2,9.4,6.6,1.8,1991-92,c/claxtch01
22,GEORGIA,29,637,133,236,,,68,141,,192,12,18,47,52,85,334,.564,,.482,22.0,11.5,6.6,0.4,1992-93,c/claxtch01
23,GEORGIA,30,728,132,239,,,63,149,,236,18,14,58,57,94,327,.552,,.423,24.3,10.9,7.9,0.6,1993-94,c/claxtch01
24,GEORGIA,28,769,124,226,3,10,89,166,,222,21,26,94,57,88,340,.549,.300,.536,27.5,12.1,7.9,0.8,1994-95,c/claxtch01
,,116,2778,498,909,3,10,275,558,,840,102,66,247,217,335,1274,.548,.300,.493,23.9,11.0,7.2,0.9,Career,c/claxtch01
19,TEXAS,34,676,123,300,58,159,37,64,34,126,50,27,12,47,43,341,.410,.365,.578,19.9,10.0,3.7,1.5,2009-10,h/hamiljo02
20,TEXAS,36,1159,243,552,90,234,95,122,72,276,76,31,23,77,64,671,.440,.385,.779,32.2,18.6,7.7,2.1,2010-11,h/hamiljo02
,,70,1835,366,852,148,393,132,186,106,402,126,58,35,124,107,1012,.430,.377,.710,26.2,14.5,5.7,1.8,Career,h/hamiljo02
18,WASHINGTON,23,576,120,260,19,74,41,57,,89,52,26,0,,,300,.462,.257,.719,25.0,13.0,3.9,2.3,2002-03,r/robinna01
19,WASHINGTON,31,833,138,309,46,130,87,102,,121,84,53,3,,,409,.447,.354,.853,26.9,13.2,3.9,2.7,2003-04,r/robinna01
20,WASHINGTON,35,1101,188,406,62,161,136,174,,135,149,61,6,,,574,.463,.385,.782,31.5,16.4,3.9,4.3,2004-05,r/robinna01
,,89,2510,446,975,127,365,264,333,,345,285,140,9,,,1283,.457,.348,.793,28.2,14.4,3.9,3.2,Career,r/robinna01
19,WICHITAST,29,914,189,346,,,79,127,,294,44,,,,,457,.546,,.622,31.5,15.8,10.1,1.5,1979-80,l/levincl01
20,WICHITAST,33,1108,246,452,,,120,194,,376,59,,,,,612,.544,,.619,33.6,18.5,11.4,1.8,1980-81,l/levincl01
21,WICHITAST,29,902,162,312,,,78,125,,295,45,,,,,402,.519,,.624,31.1,13.9,10.2,1.6,1981-82,l/levincl01
,,91,2924,597,1110,,,277,446,,965,148,,,,,1471,.538,,.621,32.1,16.2,10.6,1.6,Career,l/levincl01
18,IOWA,31,,173,371,28,91,90,129,,148,74,38,10,,,464,.466,.308,.698,,15.0,4.8,2.4,1997-98,d/davisri01
,,31,,173,371,28,91,90,129,,148,74,38,10,,,464,.466,.308,.698,,15.0,4.8,2.4,Career,d/davisri01
18,DUKE,35,1074,236,499,38,106,160,214,105,306,41,37,43,81,83,670,.473,.358,.748,30.7,19.1,8.7,1.2,2013-14,p/parkeja01
,,35,1074,236,499,38,106,160,214,105,306,41,37,43,81,83,670,.473,.358,.748,30.7,19.1,8.7,1.2,Career,p/parkeja01
18,DUKE,11,303,55,104,18,39,64,71,6,37,47,16,6,27,23,192,.529,.462,.901,27.5,17.5,3.4,4.3,2010-11,i/irvinky01
,,11,303,55,104,18,39,64,71,6,37,47,16,6,27,23,192,.529,.462,.901,27.5,17.5,3.4,4.3,Career,i/irvinky01
19,SYRACUSE,12,85,9,25,0,0,3,18,,24,2,2,15,,,21,.360,,.167,7.1,1.8,2.0,0.2,2003-04,w/watkida01
20,SYRACUSE,26,364,41,67,0,0,13,26,,87,11,6,37,,,95,.612,,.500,14.0,3.7,3.3,0.4,2004-05,w/watkida01
21,SYRACUSE,35,1043,100,191,0,0,50,93,,254,23,45,99,,,250,.524,,.538,29.8,7.1,7.3,0.7,2005-06,w/watkida01
22,SYRACUSE,33,961,98,180,0,0,71,116,,249,25,40,112,,,267,.544,,.612,29.1,8.1,7.5,0.8,2006-07,w/watkida01
,,106,2453,248,463,0,0,137,253,,614,61,93,263,,,633,.536,,.542,23.1,6.0,5.8,0.6,Career,w/watkida01
19,FLORIDA,33,299,48,80,0,0,19,30,33,79,8,12,8,20,51,115,.600,,.633,9.1,3.5,2.4,0.2,2009-10,m/murpher01
20,FLORIDA,33,355,54,105,12,30,21,28,27,75,8,5,15,24,55,141,.514,.400,.750,10.8,4.3,2.3,0.2,2010-11,m/murpher01
21,FLORIDA,34,882,131,270,59,140,35,43,42,154,29,18,37,44,90,356,.485,.421,.814,25.9,10.5,4.5,0.9,2011-12,m/murpher01
22,FLORIDA,36,952,164,318,72,159,40,51,58,199,50,23,25,51,101,440,.516,.453,.784,26.4,12.2,5.5,1.4,2012-13,m/murpher01
,,136,2488,397,773,143,329,115,152,160,507,95,58,85,139,297,1052,.514,.435,.757,18.3,7.7,3.7,0.7,Career,m/murpher01
18,DREXEL,29,820,144,287,,,107,190,,330,10,13,24,75,111,395,.502,,.563,28.3,13.6,11.4,0.3,1992-93,r/rosema01
19,DREXEL,30,875,154,296,,,110,202,,371,20,10,29,76,103,418,.520,,.545,29.2,13.9,12.4,0.7,1993-94,r/rosema01
20,DREXEL,30,984,216,384,0,3,152,213,,404,36,34,38,102,103,584,.563,.000,.714,32.8,19.5,13.5,1.2,1994-95,r/rosema01
21,DREXEL,31,972,219,368,7,21,182,255,,409,53,35,30,87,83,627,.595,.333,.714,31.4,20.2,13.2,1.7,1995-96,r/rosema01
,,120,3651,733,1335,7,24,551,860,,1514,119,92,121,340,400,2024,.549,.292,.641,30.4,16.9,12.6,1.0,Career,r/rosema01
18,DUQUESNE,32,979,132,265,39,97,41,60,23,121,140,91,5,56,56,344,.498,.402,.683,30.6,10.8,3.8,4.4,2010-11,m/mccontj01
19,DUQUESNE,31,1062,135,265,38,88,46,55,27,135,171,86,8,80,51,354,.509,.432,.836,34.3,11.4,4.4,5.5,2011-12,m/mccontj01
21,ARIZONA,38,1226,127,280,36,100,31,50,19,136,202,64,8,67,83,321,.454,.360,.620,32.3,8.4,3.6,5.3,2013-14,m/mccontj01
22,ARIZONA,38,1158,156,313,25,78,58,70,25,146,238,83,3,78,68,395,.498,.321,.829,30.5,10.4,3.8,6.3,2014-15,m/mccontj01
,,139,4425,550,1123,138,363,176,235,94,538,751,324,24,281,258,1414,.490,.380,.749,31.8,10.2,3.9,5.4,Career,m/mccontj01
19,BOSTONCOLL,31,989,241,400,3,15,132,194,,246,41,27,28,,,617,.603,.200,.680,31.9,19.9,7.9,1.3,2002-03,s/smithcr01
20,BOSTONCOLL,34,1117,235,425,7,19,99,173,,283,46,51,30,,,576,.553,.368,.572,32.9,16.9,8.3,1.4,2003-04,s/smithcr01
21,BOSTONCOLL,29,1004,202,401,5,21,114,170,,246,49,45,13,,,523,.504,.238,.671,34.6,18.0,8.5,1.7,2004-05,s/smithcr01
22,BOSTONCOLL,36,1305,243,424,1,12,146,227,,339,109,44,29,,,633,.573,.083,.643,36.3,17.6,9.4,3.0,2005-06,s/smithcr01
,,130,4415,921,1650,16,67,491,764,,1114,245,167,100,,,2349,.558,.239,.643,34.0,18.1,8.6,1.9,Career,s/smithcr01
20,ARIZONAST,29,584,104,209,,,47,84,,194,25,,,,,255,.498,,.560,20.1,8.8,6.7,0.9,1978-79,l/listeal01
21,ARIZONAST,27,793,133,264,,,58,104,,231,56,,,,,324,.504,,.558,29.4,12.0,8.6,2.1,1979-80,l/listeal01
22,ARIZONAST,26,845,158,282,,,85,123,,251,48,,,,,401,.560,,.691,32.5,15.4,9.7,1.8,1980-81,l/listeal01
,,82,2222,395,755,,,190,311,,676,129,,,,,980,.523,,.611,27.1,12.0,8.2,1.6,Career,l/listeal01
19,DUKE,33,634,66,165,15,47,59,111,,150,27,28,9,,,206,.400,.319,.532,19.2,6.2,4.5,0.8,2004-05,n/nelsode01
20,DUKE,24,517,61,135,25,61,24,37,,82,29,20,3,,,171,.452,.410,.649,21.5,7.1,3.4,1.2,2005-06,n/nelsode01
21,DUKE,33,1052,174,364,44,121,73,123,,177,66,44,17,,,465,.478,.364,.593,31.9,14.1,5.4,2.0,2006-07,n/nelsode01
22,DUKE,34,1051,172,351,40,103,110,183,,197,100,53,11,84,,494,.490,.388,.601,30.9,14.5,5.8,2.9,2007-08,n/nelsode01
,,124,3254,473,1015,124,332,266,454,,606,222,145,40,84,,1336,.466,.373,.586,26.2,10.8,4.9,1.8,Career,n/nelsode01
19,NOTREDAME,34,820,85,201,41,120,28,37,33,150,30,17,5,25,46,239,.423,.342,.757,24.1,7.0,4.4,0.9,2011-12,c/connapa01
20,NOTREDAME,35,1123,109,245,58,154,34,48,25,164,75,16,12,31,54,310,.445,.377,.708,32.1,8.9,4.7,2.1,2012-13,c/connapa01
21,NOTREDAME,32,1190,155,343,76,201,55,66,38,227,95,33,18,35,57,441,.452,.378,.833,37.2,13.8,7.1,3.0,2013-14,c/connapa01
22,NOTREDAME,38,1351,166,356,93,220,50,64,41,282,57,27,36,44,75,475,.466,.423,.781,35.6,12.5,7.4,1.5,2014-15,c/connapa01
,,139,4484,515,1145,268,695,167,215,137,823,257,93,71,135,232,1465,.450,.386,.777,32.3,10.5,5.9,1.8,Career,c/connapa01
19,MARQUETTE,30,661,101,201,,,54,83,,134,19,,,,,256,.502,,.651,22.0,8.5,4.5,0.6,1983-84,c/copato01
20,MARQUETTE,31,758,107,208,,,49,85,,171,23,,,,,263,.514,,.576,24.5,8.5,5.5,0.7,1984-85,c/copato01
21,MARQUETTE,30,543,89,185,,,61,89,,121,6,,,,,239,.481,,.685,18.1,8.0,4.0,0.2,1985-86,c/copato01
22,MARQUETTE,29,661,98,194,,,29,51,,136,26,,,,,225,.505,,.569,22.8,7.8,4.7,0.9,1986-87,c/copato01
,,120,2623,395,788,,,193,308,,562,74,,,,,983,.501,,.627,21.9,8.2,4.7,0.6,Career,c/copato01
20,XAVIER,29,735,85,233,38,126,51,76,,63,55,39,2,,,259,.365,.302,.671,25.3,8.9,2.2,1.9,2000-01,c/chalmli01
21,XAVIER,32,1090,125,297,47,134,87,121,,109,134,47,3,,,384,.421,.351,.719,34.1,12.0,3.4,4.2,2001-02,c/chalmli01
22,XAVIER,25,779,98,221,49,125,54,70,,67,99,28,1,,,299,.443,.392,.771,31.2,12.0,2.7,4.0,2002-03,c/chalmli01
23,XAVIER,37,1293,204,454,101,247,105,148,,122,117,40,1,,,614,.449,.409,.709,34.9,16.6,3.3,3.2,2003-04,c/chalmli01
,,123,3897,512,1205,235,632,297,415,,361,405,154,7,,,1556,.425,.372,.716,31.7,12.7,2.9,3.3,Career,c/chalmli01
19,PROVIDENCE,31,876,108,218,0,1,117,202,,319,41,32,51,70,90,333,.495,.000,.579,28.3,10.7,10.3,1.3,1991-92,s/smithmi02
20,PROVIDENCE,33,976,135,243,,,119,218,,375,38,40,31,73,92,389,.556,,.546,29.6,11.8,11.4,1.2,1992-93,s/smithmi02
21,PROVIDENCE,30,872,144,238,0,1,100,140,,344,25,33,23,44,89,388,.605,.000,.714,29.1,12.9,11.5,0.8,1993-94,s/smithmi02
,,94,2724,387,699,0,2,336,560,,1038,104,105,105,187,271,1110,.554,.000,.600,29.0,11.8,11.0,1.1,Career,s/smithmi02
19,LSU,36,,65,194,27,109,25,37,,94,99,38,31,,,182,.335,.248,.676,,5.1,2.6,2.8,2005-06,t/templga01
20,LSU,32,,91,230,35,130,57,70,,118,138,52,34,,,274,.396,.269,.814,,8.6,3.7,4.3,2006-07,t/templga01
21,LSU,31,,61,155,22,73,54,69,,131,111,41,24,73,,198,.394,.301,.783,,6.4,4.2,3.6,2007-08,t/templga01
22,LSU,35,,76,210,29,94,66,82,,159,134,60,24,67,,247,.362,.309,.805,,7.1,4.5,3.8,2008-09,t/templga01
,,134,,293,789,113,406,202,258,,502,482,191,113,140,,901,.371,.278,.783,,6.7,3.7,3.6,Career,t/templga01
19,WASHINGTON,28,314,33,73,,,26,47,,56,13,3,2,22,54,92,.452,,.553,11.2,3.3,2.0,0.5,1981-82,s/schrede01
20,WASHINGTON,31,958,124,266,,,81,113,,211,44,17,8,76,115,329,.466,,.717,30.9,10.6,6.8,1.4,1982-83,s/schrede01
21,WASHINGTON,31,1186,195,362,,,131,178,,230,93,32,12,89,94,521,.539,,.736,38.3,16.8,7.4,3.0,1983-84,s/schrede01
22,WASHINGTON,32,1180,191,342,,,125,175,,255,134,17,20,116,90,507,.558,,.714,36.9,15.8,8.0,4.2,1984-85,s/schrede01
,,122,3638,543,1043,,,363,513,,752,284,69,42,303,353,1449,.521,,.708,29.8,11.9,6.2,2.3,Career,s/schrede01
20,GEORGEWASH,30,831,140,254,,,86,182,,308,3,17,84,61,93,366,.551,,.473,27.7,12.2,10.3,0.1,1992-93,d/dareyi01
21,GEORGEWASH,28,838,164,305,,,100,172,,284,15,20,56,74,86,428,.538,,.581,29.9,15.3,10.1,0.5,1993-94,d/dareyi01
,,58,1669,304,559,,,186,354,,592,18,37,140,135,179,794,.544,,.525,28.8,13.7,10.2,0.3,Career,d/dareyi01
18,NORFOLKST,31,,62,126,17,45,23,37,,104,12,10,25,35,,164,.492,.378,.622,,5.3,3.4,0.4,2008-09,o/oquinky01
19,NORFOLKST,30,849,145,264,16,67,39,74,80,261,27,16,51,64,94,345,.549,.239,.527,28.3,11.5,8.7,0.9,2009-10,o/oquinky01
20,NORFOLKST,32,1050,198,356,15,63,115,151,107,355,32,18,110,68,114,526,.556,.238,.762,32.8,16.4,11.1,1.0,2010-11,o/oquinky01
21,NORFOLKST,36,1125,205,358,6,32,156,224,114,372,51,25,97,95,117,572,.573,.188,.696,31.3,15.9,10.3,1.4,2011-12,o/oquinky01
,,129,3024,610,1104,54,207,333,486,301,1092,122,69,283,262,325,1607,.553,.261,.685,30.9,12.5,8.5,0.9,Career,o/oquinky01
18,MICHIGAN,35,1074,159,379,76,207,91,119,27,133,59,34,5,45,68,485,.420,.367,.765,30.7,13.9,3.8,1.7,2010-11,h/hardati02
19,MICHIGAN,34,1162,167,400,53,187,108,151,26,130,73,16,11,66,71,495,.418,.283,.715,34.2,14.6,3.8,2.1,2011-12,h/hardati02
20,MICHIGAN,38,1324,201,460,73,195,77,111,9,177,93,26,17,71,73,552,.437,.374,.694,34.8,14.5,4.7,2.4,2012-13,h/hardati02
,,107,3560,527,1239,202,589,276,381,62,440,225,76,33,182,212,1532,.425,.343,.724,33.3,14.3,4.1,2.1,Career,h/hardati02
20,MINNESOTA,23,,114,215,,,59,78,,176,,,,,,287,.530,,.756,,12.5,7.7,,1974-75,t/thompmy01
21,MINNESOTA,25,,264,461,,,119,171,,312,,,,,,647,.573,,.696,,25.9,12.5,,1975-76,t/thompmy01
22,MINNESOTA,27,,251,414,,,93,132,,240,,,,,,595,.606,,.705,,22.0,8.9,,1976-77,t/thompmy01
23,MINNESOTA,21,,194,362,,,75,119,,228,,,,,,463,.536,,.630,,22.0,10.9,,1977-78,t/thompmy01
,,96,,823,1452,,,346,500,,956,,,,,,1992,.567,,.692,,20.8,10.0,,Career,t/thompmy01
19,WAKE,32,312,14,46,,,9,13,,21,53,31,0,33,50,37,.304,,.692,9.8,1.2,0.7,1.7,1983-84,b/boguemu01
20,WAKE,29,1025,81,162,,,30,44,,69,207,85,0,62,81,192,.500,,.682,35.3,6.6,2.4,7.1,1984-85,b/boguemu01
21,WAKE,29,1101,132,290,,,65,89,,90,245,89,3,96,84,329,.455,,.730,38.0,11.3,3.1,8.4,1985-86,b/boguemu01
22,WAKE,29,1130,159,318,35,79,75,93,,110,276,70,1,106,62,428,.500,.443,.806,39.0,14.8,3.8,9.5,1986-87,b/boguemu01
,,119,3568,386,816,35,79,179,239,,290,781,275,4,297,277,986,.473,.443,.749,30.0,8.3,2.4,6.6,Career,b/boguemu01
19,UNC,35,734,138,296,2,20,150,205,,176,69,42,17,87,55,428,.466,.100,.732,21.0,12.2,5.0,2.0,1993-94,s/stackje01
20,UNC,34,1170,215,416,37,90,185,260,,280,93,50,59,111,74,652,.517,.411,.712,34.4,19.2,8.2,2.7,1994-95,s/stackje01
,,69,1904,353,712,39,110,335,465,,456,162,92,76,198,129,1080,.496,.355,.720,27.6,15.7,6.6,2.3,Career,s/stackje01
18,ARIZONAST,33,889,159,277,7,22,86,140,,224,28,40,55,78,91,411,.574,.318,.614,26.9,12.5,6.8,0.8,1991-92,b/bennema01
20,ARIZONAST,21,706,134,226,5,16,67,132,,180,32,21,21,62,71,340,.593,.313,.508,33.6,16.2,8.6,1.5,1993-94,b/bennema01
21,ARIZONAST,33,1132,247,417,8,30,115,234,,271,79,34,115,101,96,617,.592,.267,.491,34.3,18.7,8.2,2.4,1994-95,b/bennema01
,,87,2727,540,920,20,68,268,506,,675,139,95,191,241,258,1368,.587,.294,.530,31.3,15.7,7.8,1.6,Career,b/bennema01
19,UNC,24,152,26,53,,,7,17,,36,,,,,,59,.491,,.412,6.3,2.5,1.5,,1985-86,b/bucknst01
20,UNC,36,432,45,91,,,42,59,,68,,,,,,132,.495,,.712,12.0,3.7,1.9,,1986-87,b/bucknst01
21,UNC,33,960,108,219,,,75,94,,137,,,,,,300,.493,,.798,29.1,9.1,4.2,,1987-88,b/bucknst01
22,UNC,37,1061,154,333,,,113,144,,151,,,,,,483,.462,,.785,28.7,13.1,4.1,,1988-89,b/bucknst01
,,130,2605,333,696,,,237,314,,392,,,,,,974,.478,,.755,20.0,7.5,3.0,,Career,b/bucknst01
18,LOUISVILLE,32,444,63,131,,,11,19,,33,38,12,5,41,48,137,.481,,.579,13.9,4.3,1.0,1.2,1981-82,w/wagnemi01
19,LOUISVILLE,36,1111,227,437,2,4,61,86,,92,89,30,20,87,85,517,.519,.500,.709,30.9,14.4,2.6,2.5,1982-83,w/wagnemi01
20,LOUISVILLE,35,1157,228,458,,,124,146,,103,136,44,14,112,97,580,.498,,.849,33.1,16.6,2.9,3.9,1983-84,w/wagnemi01
21,LOUISVILLE,2,59,11,27,,,3,3,,5,4,0,3,9,3,25,.407,,1.000,29.5,12.5,2.5,2.0,1984-85,w/wagnemi01
22,LOUISVILLE,39,1312,220,444,,,137,159,,122,165,52,10,124,92,577,.495,,.862,33.6,14.8,3.1,4.2,1985-86,w/wagnemi01
,,144,4083,749,1497,2,4,336,413,,355,432,138,52,373,325,1836,.500,.500,.814,28.4,12.8,2.5,3.0,Career,w/wagnemi01
19,ARIZONA,30,1072,173,378,59,145,187,223,,82,121,29,3,89,,592,.458,.407,.839,35.7,19.7,2.7,4.0,2007-08,b/bayleje01
,,30,1072,173,378,59,145,187,223,,82,121,29,3,89,,592,.458,.407,.839,35.7,19.7,2.7,4.0,Career,b/bayleje01
19,MISSST,35,,75,175,47,114,58,74,,98,112,35,0,,,255,.429,.412,.784,,7.3,2.8,3.2,2006-07,h/hansbbe01
20,MISSST,30,,98,236,62,173,56,71,,115,77,31,2,48,,314,.415,.358,.789,,10.5,3.8,2.6,2007-08,h/hansbbe01
22,NOTREDAME,35,1241,129,284,67,162,94,129,29,136,153,37,5,63,82,419,.454,.414,.729,35.5,12.0,3.9,4.4,2009-10,h/hansbbe01
23,NOTREDAME,34,1202,194,405,87,200,150,184,25,131,145,41,4,81,88,625,.479,.435,.815,35.4,18.4,3.9,4.3,2010-11,h/hansbbe01
,,134,2443,496,1100,263,649,358,458,54,480,487,144,11,192,170,1613,.451,.405,.782,35.4,12.0,3.6,3.6,Career,h/hansbbe01
19,TOLEDO,27,795,109,196,0,0,58,107,,180,17,5,21,42,77,276,.556,,.542,29.4,10.2,6.7,0.6,1994-95,s/shawca01
20,TOLEDO,32,1049,188,362,0,1,86,134,,179,45,13,20,79,94,462,.519,.000,.642,32.8,14.4,5.6,1.4,1995-96,s/shawca01
21,TOLEDO,27,880,162,275,0,0,117,204,,242,41,19,30,80,80,441,.589,,.574,32.6,16.3,9.0,1.5,1996-97,s/shawca01
22,TOLEDO,27,,138,261,0,1,107,175,,270,33,16,39,,,383,.529,.000,.611,,14.2,10.0,1.2,1997-98,s/shawca01
,,113,2724,597,1094,0,2,368,620,,871,136,53,110,201,251,1562,.546,.000,.594,31.7,13.8,7.7,1.2,Career,s/shawca01
19,INDIANA,6,144,28,57,,,14,27,,40,8,1,6,12,12,70,.491,,.519,24.0,11.7,6.7,1.3,1989-90,f/fundela01
21,OHIOST,23,668,115,210,,,51,78,,149,18,15,55,33,40,281,.548,,.654,29.0,12.2,6.5,0.8,1991-92,f/fundela01
22,OHIOST,28,878,186,349,1,3,84,135,,190,34,21,54,56,49,457,.533,.333,.622,31.4,16.3,6.8,1.2,1992-93,f/fundela01
23,OHIOST,29,847,188,345,2,7,63,106,,190,28,11,22,50,51,441,.545,.286,.594,29.2,15.2,6.6,1.0,1993-94,f/fundela01
,,86,2537,517,961,3,10,212,346,,569,88,48,137,151,152,1249,.538,.300,.613,29.5,14.5,6.6,1.0,Career,f/fundela01
20,LOUISVILLE,30,831,113,239,10,43,55,75,,154,55,39,5,41,44,291,.473,.233,.733,27.7,9.7,5.1,1.8,1991-92,m/minorgr01
21,LOUISVILLE,31,1036,156,296,42,97,84,112,,170,87,32,12,51,41,438,.527,.433,.750,33.4,14.1,5.5,2.8,1992-93,m/minorgr01
22,LOUISVILLE,34,1176,179,349,42,119,70,96,,209,86,57,16,54,67,470,.513,.353,.729,34.6,13.8,6.1,2.5,1993-94,m/minorgr01
,,95,3043,448,884,94,259,209,283,,533,228,128,33,146,152,1199,.507,.363,.739,32.0,12.6,5.6,2.4,Career,m/minorgr01
18,CREIGHTON,33,601,97,204,63,145,34,38,,101,32,21,5,43,57,291,.475,.434,.895,18.2,8.8,3.1,1.0,1999-00,k/korveky01
19,CREIGHTON,32,941,148,315,100,221,72,83,,186,63,56,14,57,82,468,.470,.452,.867,29.4,14.6,5.8,2.0,2000-01,k/korveky01
20,CREIGHTON,29,916,131,274,79,184,97,109,,160,95,45,16,63,69,438,.478,.429,.890,31.6,15.1,5.5,3.3,2001-02,k/korveky01
21,CREIGHTON,34,1082,183,391,129,269,109,120,,217,104,50,23,68,89,604,.468,.480,.908,31.8,17.8,6.4,3.1,2002-03,k/korveky01
,,128,3540,559,1184,371,819,312,350,,664,294,172,58,231,297,1801,.472,.453,.891,27.7,14.1,5.2,2.3,Career,k/korveky01
18,ALABAMA,25,839,99,232,,,38,58,,199,,,,,,236,.427,,.655,33.6,9.4,8.0,,1973-74,d/dunntr01
