Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Season,Name
19,EWASHINGTN,30,990,250,510,55,148,171,225,,144,123,66,8,,,726,.490,.372,.760,33.0,24.2,4.8,4.1,2005-06,s/stuckro01
20,EWASHINGTN,29,965,227,501,43,161,215,254,,135,160,71,9,,,712,.453,.267,.846,33.3,24.6,4.7,5.5,2006-07,s/stuckro01
,,59,1955,477,1011,98,309,386,479,,279,283,137,17,,,1438,.472,.317,.806,33.1,24.4,4.7,4.8,Career,s/stuckro01
18,MISSST,35,,75,116,0,1,24,45,,146,11,12,67,,,174,.647,.000,.533,,5.0,4.2,0.3,2006-07,v/varnaja01
19,MISSST,34,,109,170,1,2,50,100,,264,18,18,157,41,,269,.641,.500,.500,,7.9,7.8,0.5,2007-08,v/varnaja01
20,MISSST,36,,180,328,0,1,104,159,,317,28,22,170,60,,464,.549,.000,.654,,12.9,8.8,0.8,2008-09,v/varnaja01
21,MISSST,36,1141,184,316,0,0,128,210,107,369,32,24,170,71,88,496,.582,,.610,31.7,13.8,10.3,0.9,2009-10,v/varnaja01
,,141,1141,548,930,1,4,306,514,107,1096,89,76,564,172,88,1403,.589,.250,.595,31.7,10.0,7.8,0.6,Career,v/varnaja01
19,ARIZONA,23,601,66,137,29,65,43,56,,84,59,16,3,43,43,204,.482,.446,.768,26.1,8.9,3.7,2.6,1994-95,s/simonmi01
20,ARIZONA,33,1055,135,303,45,139,120,157,,132,136,33,7,107,77,435,.446,.324,.764,32.0,13.2,4.0,4.1,1995-96,s/simonmi01
21,ARIZONA,23,730,142,312,45,111,95,126,,94,97,31,4,80,49,424,.455,.405,.754,31.7,18.4,4.1,4.2,1996-97,s/simonmi01
22,ARIZONA,35,,200,420,57,155,144,185,,122,163,45,2,,,601,.476,.368,.778,,17.2,3.5,4.7,1997-98,s/simonmi01
,,114,2386,543,1172,176,470,402,524,,432,455,125,16,230,169,1664,.463,.374,.767,30.2,14.6,3.8,4.0,Career,s/simonmi01
19,VANDY,29,,41,75,0,0,28,55,,74,1,4,22,43,,110,.547,,.509,,3.8,2.6,0.0,2008-09,e/ezelife01
20,VANDY,32,406,49,90,0,0,22,59,30,102,3,6,43,34,70,120,.544,,.373,12.7,3.8,3.2,0.1,2009-10,e/ezelife01
21,VANDY,34,799,151,257,0,0,140,216,95,213,6,20,88,60,104,442,.588,,.648,23.5,13.0,6.3,0.2,2010-11,e/ezelife01
22,VANDY,26,603,89,165,0,0,84,139,62,154,8,11,52,58,82,262,.539,,.604,23.2,10.1,5.9,0.3,2011-12,e/ezelife01
,,121,1808,330,587,0,0,274,469,187,543,18,41,205,195,256,934,.562,,.584,19.7,7.7,4.5,0.1,Career,e/ezelife01
18,VIRGINIA,33,1037,127,338,44,149,72,105,,106,145,41,3,94,74,370,.376,.295,.686,31.4,11.2,3.2,4.4,1991-92,a/alexaco01
19,VIRGINIA,31,1118,213,470,64,174,93,132,,107,144,26,7,106,75,583,.453,.368,.705,36.1,18.8,3.5,4.6,1992-93,a/alexaco01
